Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_user_memory.c:import_page_map,functions_by_file,AIARelevantFunction,90,"**AIARelevantFunction Score (90)**: The function `import_page_map` is heavily involved in managing memory pages that are likely to be shared with an AI Accelerator (AIA). It uses `pin_user_pages`, ...",[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; user_vaddr; size; pageCount; chunk_count; dma_address]
2,import_page_map,dma_operations,AIARelevantFunction,90,**AIARelevantFunction Score (90)**: The function `import_page_map` is heavily involved in managing memory pages that are likely to be shared with an AI Accelerator (AIA). It uses `pin_user_pages` a...,[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; user_vaddr; pageCount; physical address; dma_address]
3,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_user_memory.c:_Import,functions_by_file,AIARelevantFunction,85,**AIARelevantFunction Score (85%)**: The function `_Import` is heavily involved in managing memory that is likely shared with an AI Accelerator (AIA). It performs operations such as verifying memor...,[struct um_desc],[user_vaddr; dmaHandle; pageCount; extraPage; offset]
4,import_page_map,dma_operations,AIARelevantFunction,85,"**AIARelevantFunction Score (85%)**: The function `import_page_map` is heavily involved in memory management and DMA operations, which are critical for sharing memory with an AI Accelerator (AIA). ...",[struct um_desc],[gctPHYS_ADDR_T; unsigned long long; size_t; unsigned int]
5,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_WrapUserMemory,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gckVIDMEM_NODE_WrapUserMemory` is involved in managing memory that can be shared with an AI Accelerator (AIA). It utilizes the `dma_buf` structure,...",[gcsUSER_MEMORY_DESC; dma_buf; gcuVIDMEM_NODE],[handle; dmabuf; logical; physical; size]
6,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_user_memory.c:_UserMemoryPhysical,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `_UserMemoryPhysical` is involved in obtaining physical addresses for user memory, which is crucial for sharing memory with an AI Accelerator (AIA)....",[struct um_desc; struct LINUX_MDL],[dmaHandle; physical; page_to_phys; userMemory->pages[index]]
7,release_page_map,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `release_page_map` is involved in managing DMA operations, which are critical for AI Accelerator integration. It utilizes `dma_sync_sg_for_device`, ...",[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; dma_address; page_link]
8,release_page_map,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `release_page_map` is involved in managing DMA operations, which are critical for AI Accelerator integration. It uses `dma_sync_sg_for_device`, `dma...",[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; dma_address]
9,user_copy:drv_ioctl,user_copy_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `drv_ioctl` is involved in handling IOCTL commands that interact with the AI Accelerator (AIA). It uses `copy_from_user()` to retrieve user data int...,[DRIVER_ARGS; gcsHAL_INTERFACE; gcsHAL_PROFILER_INTERFACE],[InputBuffer; OutputBuffer; InputBufferSize; OutputBufferSize; devIndex; physicalAddress]
10,user_copy:drv_ioctl,user_copy_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `drv_ioctl` is involved in handling IOCTL commands that interact with the AI Accelerator (AIA). It performs operations that involve copying data bet...,[DRIVER_ARGS; gcsHAL_INTERFACE; gcsHAL_PROFILER_INTERFACE],[InputBuffer; OutputBuffer; InputBufferSize; OutputBufferSize; devIndex; physicalAddress]
11,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_LockCPU,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `gckVIDMEM_NODE_LockCPU` is involved in managing video memory, which is relevant for AI Accelerator integration. It handles locking and mapping vid...",None,None
12,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:_ConvertPhysical,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `_ConvertPhysical` is involved in converting a physical address to a GPU physical address, which is relevant for memory management in the context of...",None,None
13,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_user_memory.c:_UserMemoryAttach,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `_UserMemoryAttach` is involved in managing user memory, which is crucial for AI Accelerator integration. It allocates a user memory descriptor (`um...",[gcsATTACH_DESC; um_desc; LINUX_MDL],[Desc->userMem.memory; Desc->userMem.physical; Desc->userMem.size; userMemory->dmaHandle]
14,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_user_memory.c:_UserMemoryCache,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `_UserMemoryCache` is involved in managing memory operations that could be relevant for an AI Accelerator (AIA) context, particularly in terms of ca...",[struct um_desc; struct LINUX_MDL],[dmaHandle; user_vaddr; size]
15,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_user_memory.c:release_page_map,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `release_page_map` interacts with DMA operations, which are crucial for AI Accelerator integration. It uses `dma_sync_sg_for_device`, `dma_sync_sg_f...",[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; dma_address]
16,_UserMemoryCache,dma_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `_UserMemoryCache` is involved in managing memory cache operations that are relevant for DMA operations, which are critical for AI Accelerators (AI...",[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; user_vaddr; dma_address]
17,_UserMemoryCache,dma_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `_UserMemoryCache` interacts with memory management and DMA operations, which are relevant for AI Accelerator integration. It uses `dma_sync_sg_for_...",[um_desc; LINUX_MDL],[dmaHandle; user_vaddr; size]
18,_UserMemoryCache,dma_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `_UserMemoryCache` interacts with memory management and DMA operations, which are relevant for AI Accelerator integration. It utilizes `dma_sync_sg_...",[struct um_desc; struct LINUX_MDL],[dmaHandle; user_vaddr; physical addresses in sg_table; dma_address in scatterlist]
19,release_page_map,dma_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `release_page_map` interacts with DMA operations, specifically using `dma_sync_sg_for_device`, `dma_sync_sg_for_cpu`, and `dma_unmap_sg`. These oper...",[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; dma_address]
20,user_copy:drv_ioctl,user_copy_operations,AIARelevantFunction,70,**AIARelevantFunction (70%)**: The function `drv_ioctl` interacts with the AI Accelerator (AIA) by handling commands that may involve memory management and communication with the AIA. It uses `copy...,[DRIVER_ARGS; gcsHAL_INTERFACE; gcsHAL_PROFILER_INTERFACE],[InputBuffer; OutputBuffer; devIndex; devCtxt]
21,drv_ioctl,ioctl_operations,AIARelevantFunction,70,**AIARelevantFunction (70%)**: The function `drv_ioctl` interacts with the AI Accelerator (AIA) through the `gcsHAL_INTERFACE` and `gcsHAL_PROFILER_INTERFACE` structures. It handles commands that m...,[DRIVER_ARGS; gcsHAL_INTERFACE; gcsHAL_PROFILER_INTERFACE],[InputBuffer; OutputBuffer; devIndex; coreIndex; devCtxt]
