Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_user_memory.c:import_page_map,functions_by_file,AIARelevantFunction,90,**AIARelevantFunction Score (90)**: The function `import_page_map` is heavily involved in managing memory pages that are likely to be shared with an AI Accelerator (AIA). It uses `pin_user_pages` a...,[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; user_vaddr; pageCount; physical address; DMA address]
2,import_page_map,dma_operations,AIARelevantFunction,90,"**AIARelevantFunction Score (90)**: The function `import_page_map` is heavily involved in memory management for an AI Accelerator (AIA). It pins user pages to memory using `get_user_pages`, which i...",[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; user_vaddr; pageCount; alloc_from_res; dma_address]
3,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_WrapUserMemory,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gckVIDMEM_NODE_WrapUserMemory` is involved in managing memory that can be shared with an AI Accelerator (AIA). It utilizes the `dma_buf` structure,...",[gcsUSER_MEMORY_DESC; dma_buf],[handle; dmabuf; logical; physical; size]
4,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_user_memory.c:_UserMemoryAttach,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `_UserMemoryAttach` is involved in managing memory that is likely shared with an AI Accelerator (AIA). It allocates a `um_desc` structure, which con...",[gcsATTACH_DESC; um_desc; LINUX_MDL],[user_vaddr; physical; dmaHandle; size; pageCount; extraPage]
5,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_user_memory.c:_Import,functions_by_file,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `_Import` is involved in managing memory that is likely shared with an AI Accelerator (AIA). It performs operations such as verifying memory address...,[struct um_desc],[user_vaddr; size; offset; dmaHandle; pageCount]
6,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_user_memory.c:_UserMemoryPhysical,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction (80%)**: The function `_UserMemoryPhysical` is involved in obtaining physical addresses for user memory, which is critical for sharing memory with an AI Accelerator (AIA). It ...",[struct um_desc; struct LINUX_MDL],[dmaHandle; physical; pageCount; extraPage]
7,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_user_memory.c:release_page_map,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `release_page_map` is involved in managing DMA operations, which are critical for AI Accelerator integration. It uses `dma_sync_sg_for_device` and `...",[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; dma_address]
8,import_page_map,dma_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `import_page_map` is involved in managing memory pages that are likely shared with an AI Accelerator (AIA). It uses `pin_user_pages` to pin user pag...,[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; user_vaddr; pageCount; alloc_from_res; dma_address]
9,release_page_map,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `release_page_map` is involved in managing DMA operations, which are critical for AI Accelerator integration. It uses `dma_sync_sg_for_device`, `dma...",[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; dma_address]
10,release_page_map,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `release_page_map` is involved in managing DMA operations, which are critical for AI Accelerator integration. It uses `dma_sync_sg_for_device`, `dma...",[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; dma_address]
11,user_copy:drv_ioctl,user_copy_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80%)**: The function `drv_ioctl` is involved in handling IOCTL commands that interact with the AI Accelerator (AIA). It performs operations that are relevant to shared ...,[DRIVER_ARGS; gcsHAL_INTERFACE; gcsHAL_PROFILER_INTERFACE],[InputBuffer; OutputBuffer; InputBufferSize; OutputBufferSize; devIndex; physicalAddress; logical; handle]
12,user_copy:drv_ioctl,user_copy_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `drv_ioctl` is involved in handling IOCTL commands that interact with the AI Accelerator (AIA). It performs operations that are relevant to memory m...,[DRIVER_ARGS; gcsHAL_INTERFACE; gcsHAL_PROFILER_INTERFACE],[InputBuffer; OutputBuffer; InputBufferSize; OutputBufferSize; devIndex; physicalAddress]
13,drv_ioctl,ioctl_operations,AIARelevantFunction,80,**AIARelevantFunction (80%)**: The function `drv_ioctl` interacts with the AI Accelerator (AIA) by handling various commands that likely involve memory management and communication with the AIA. It...,[DRIVER_ARGS; gcsHAL_INTERFACE; gcsHAL_PROFILER_INTERFACE],[InputBuffer; OutputBuffer; InputBufferSize; OutputBufferSize; devIndex; physicalAddress; logical; dmabuf]
14,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_LockCPU,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `gckVIDMEM_NODE_LockCPU` is involved in managing video memory, which is relevant for AI Accelerators that require efficient memory access. The funct...",None,physical address; logical address; kvaddr
15,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:_ConvertPhysical,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `_ConvertPhysical` is involved in converting a physical address to a GPU address, which is relevant for memory management in the context of an AI A...",None,None
16,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_user_memory.c:_UserMemoryCache,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction (70%)**: The function `_UserMemoryCache` interacts with memory management and DMA operations, which are relevant for AI Accelerator integration. It uses `dma_sync_sg_for_devic...",[struct um_desc; struct LINUX_MDL],[dmaHandle; user_vaddr; size]
17,_UserMemoryCache,dma_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `_UserMemoryCache` is involved in managing memory operations that could be relevant for an AI Accelerator (AIA) context, particularly through the us...",[struct um_desc; struct LINUX_MDL],[dmaHandle; user_vaddr]
18,_UserMemoryCache,dma_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `_UserMemoryCache` interacts with memory management and DMA operations, which are relevant for AI Accelerator integration. It utilizes the `dma_sync...",[struct um_desc; struct LINUX_MDL; struct sg_table],[dmaHandle; user_vaddr; size; device]
19,_UserMemoryCache,dma_operations,AIARelevantFunction,70,"**AIARelevantFunction (70%)**: The function `_UserMemoryCache` is involved in managing memory cache operations that are relevant for DMA operations, which is critical for AI Accelerator integration...",[um_desc; sg_table; scatterlist; LINUX_MDL],[user_vaddr; dmaHandle; dma_address; physicalBase]
20,release_page_map,dma_operations,AIARelevantFunction,70,"**AIARelevantFunction (70%)**: The function `release_page_map` is involved in managing DMA memory operations, which is relevant for AI Accelerator integration. It uses `dma_sync_sg_for_device`, `dm...",[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; dma_address]
21,user_copy:drv_ioctl,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `drv_ioctl` interacts with the AI Accelerator (AIA) through the `gcsHAL_INTERFACE` structure, which contains command codes relevant to the AIA oper...",[DRIVER_ARGS; gcsHAL_INTERFACE; gcsHAL_PROFILER_INTERFACE],[InputBuffer; OutputBuffer; devIndex; devCtxt]
22,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_AllocateLinear,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `gckVIDMEM_NODE_AllocateLinear` does not interact with an AI Accelerator (AIA) or shared memory (SMem) mechanisms. It primarily focuses on allocating...,None,None
23,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_AllocateLinear,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `gckVIDMEM_AllocateLinear` is primarily focused on allocating linear video memory and does not directly interact with an AI Accelerator (AIA) or perf...,None,None
24,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:_FindNode,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `_FindNode` does not interact with any AI Accelerator (AIA) specific memory management or communication patterns. It primarily deals with finding a ...,None,None
25,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:_GetSurfaceBankAlignment,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `_GetSurfaceBankAlignment` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on calculati...,None,None
26,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:_Split,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `_Split` does not interact with an AI Accelerator (AIA) or shared memory (SMem) mechanisms. It primarily focuses on managing video memory nodes (`gcu...,None,None
27,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_Construct,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gckVIDMEM_NODE_Construct` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on construct...,None,None
28,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:_UpdatePIDInfoListNode,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `_UpdatePIDInfoListNode` does not interact with an AI Accelerator (AIA) or shared memory (SMem) mechanisms. It primarily manages process ID informat...,None,None
29,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_Lock,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gckVIDMEM_NODE_Lock` does not appear to directly interact with an AI Accelerator (AIA) or perform operations related to shared memory management th...,None,None
30,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_Lock,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gckVIDMEM_Lock` does not involve any operations that directly relate to sharing memory with an AI Accelerator (AIA). It primarily deals with lockin...,None,None
31,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_HANDLE_Allocate,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gckVIDMEM_HANDLE_Allocate` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on allocati...,None,None
32,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_IsContiguous,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gckVIDMEM_NODE_IsContiguous` does not involve any operations related to shared memory management or interactions with an AI Accelerator (AIA). It p...,None,None
33,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_HANDLE_Lookup,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gckVIDMEM_HANDLE_Lookup` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on looking up...,None,None
34,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_Reference,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gckVIDMEM_NODE_Reference` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily deals with inc...,None,None
35,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_GetCPUPhysical,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gckVIDMEM_NODE_GetCPUPhysical` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuse...,None,None
36,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_GetGid,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `gckVIDMEM_NODE_GetGid` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily retrieves a global ident...,None,None
37,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_HANDLE_Reference,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `gckVIDMEM_HANDLE_Reference` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily deals with re...,None,None
38,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_CleanCache,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gckVIDMEM_NODE_CleanCache` does not involve any operations that directly relate to sharing memory with an AI Accelerator (AIA). It primarily deals ...,None,None
39,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_UnlockCPU,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gckVIDMEM_NODE_UnlockCPU` does not interact with an AI Accelerator (AIA) or shared memory (SMem) mechanisms. It primarily deals with unlocking vide...,None,None
40,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_Unlock,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gckVIDMEM_NODE_Unlock` does not involve any operations that directly relate to sharing memory with an AI Accelerator (AIA). It primarily deals with...,None,None
41,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_Unlock,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `gckVIDMEM_Unlock` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily deals with unlocking a video ...,None,None
42,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_HANDLE_Dereference,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gckVIDMEM_HANDLE_Dereference` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily deals with deref...,None,None
43,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_Dereference,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gckVIDMEM_NODE_Dereference` does not involve any operations related to shared memory management or AI Accelerator integration. It primarily focuses...,None,None
44,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_DereferenceEx,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gckVIDMEM_NODE_DereferenceEx` does not involve any operations that directly relate to sharing memory with an AI Accelerator (AIA). It primarily foc...,None,None
45,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_Free,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gckVIDMEM_Free` does not involve any operations that directly relate to sharing memory with an AI Accelerator (AIA). It primarily focuses on freein...,None,None
46,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:_Merge,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `_Merge` does not interact with any AI Accelerator (AIA) relevant operations. It primarily deals with merging video memory nodes in a linked list st...,None,None
47,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_user_memory.c:phy_is_from_reserved,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `phy_is_from_reserved` does not interact with any AI Accelerator (AIA) related memory management or communication patterns. It primarily checks if a...,None,None
48,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_user_memory.c:_UserMemoryFree,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `_UserMemoryFree` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on releasing memory r...,None,None
49,user_copy:gckOS_CopyFromUserData,user_copy_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `gckOS_CopyFromUserData` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on cop...,None,None
50,user_copy:gckOS_CopyToUserData,user_copy_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gckOS_CopyToUserData` does not directly interact with an AI Accelerator (AIA) or perform any operations related to shared memory management for an ...,None,None
51,drv_open,ioctl_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The `drv_open` function does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily handles the opening of a device file ...,None,None
52,drv_release,ioctl_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The `drv_release` function does not involve any operations that directly relate to sharing memory with an AI Accelerator (AIA). It primarily handles the release ...,None,None
