Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,ncdev_mem_alloc,user_copy_operations,AIARelevantFunction,80,"**AIARelevantFunction (80%)**: The function `ncdev_mem_alloc` is involved in memory allocation for a device, which is relevant for AI Accelerator integration. It utilizes the `mc_alloc_align` funct...",[struct neuron_ioctl_mem_alloc],[mem_handle; pa; mc_handle]
2,mc_alloc_internal,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `mc_alloc_internal` is involved in memory allocation, which is critical for AI Accelerator (AIA) operations. It uses `dma_alloc_coherent` to allocat...",[struct mem_chunk],[mc->pa; mc->va; mc->mc_handle; mc->pid]
3,ncdev_mem_get_info_deprecated,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `ncdev_mem_get_info_deprecated` interacts with memory management, specifically retrieving information about a memory chunk associated with an AI Acc...",[struct neuron_ioctl_mem_get_info; struct mem_chunk],[mem_handle; pa; mmap_offset; mc_handle]
4,ncdev_acquire_neuron_ds,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction (70%)**: The function `ncdev_acquire_neuron_ds` interacts with shared memory through the `mem_chunk` structure, which contains fields like `pa` (physical address) and `va` (vi...",[struct neuron_ioctl_neuron_ds_info],[pid; mmap_offset; size; pa; va]
5,ncdev_mem_get_pa_deprecated,user_copy_operations,AIARelevantFunction,70,**AIARelevantFunction Score (70)**: The function `ncdev_mem_get_pa_deprecated` is involved in obtaining a physical address (PA) for a memory chunk associated with an AI Accelerator. It uses the `ne...,[struct neuron_ioctl_mem_get_pa; struct mem_chunk],[mem_handle; pa; mc_handle; pa (from mem_chunk)]
6,ncdev_mem_buf_copy,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `ncdev_mem_buf_copy` is involved in copying memory buffers, which is relevant for AI Accelerator integration as it handles memory management between...",[struct neuron_ioctl_mem_buf_copy; struct neuron_ioctl_mem_buf_copy64],[mem_handle; buffer; size; offset; copy_to_mem_handle; mc->va; mc->pa; mc->mc_handle]
7,ncdev_bar_read,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `ncdev_bar_read` interacts with memory management and data transfer, which are relevant for AI Accelerator integration. It allocates memory for data...",[mem_chunk; neuron_device],[pa (physical address); va (virtual address); nc_id (neuron chunk ID)]
8,ncdev_ioctl,ioctl_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `ncdev_ioctl` handles various IOCTL commands that are likely related to memory management and DMA operations, which are critical for AI Accelerator...",[struct neuron_attached_process; struct mem_chunk],[phys_addr_t; neuron_mc_handle_t; void* (for memory addresses); int (for process IDs)]
1,ncdev_compatible_version,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_compatible_version` does not involve any operations that directly relate to sharing memory with an AI Accelerator (AIA). It primarily retrieve...,[struct neuron_ioctl_compatible_version],[None identified]
2,ncdev_cinit_set_state,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_cinit_set_state` does not directly involve operations related to sharing memory with an AI Accelerator (AIA). It primarily handles setting the...,[struct neuron_ioctl_cinit_set],[nc_id]
3,ncdev_semaphore_ioctl,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_semaphore_ioctl` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that is typical for AIA integ...,[struct neuron_ioctl_semaphore],[nc_id; semaphore_index; value]
4,ncdev_nc_model_started_count,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0%)**: The function `ncdev_nc_model_started_count` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on retri...,[struct neuron_ioctl_nc_model_started_count],[nc_id; started_count]
5,ncdev_crwl_nc_range_mark,user_copy_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (0)**: The function `ncdev_crwl_nc_range_mark` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that would qualify it as a...,[struct neuron_ioctl_crwl_nc_map_ext],[nc_count; start_nc_index; end_nc_index; max_nc_available; bitmap]
6,ncdev_mem_alloc,user_copy_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction (80%)**: The function `ncdev_mem_alloc` is involved in memory allocation for a device, which is relevant for AI Accelerator integration. It utilizes the `mc_alloc_align` funct...",[struct neuron_ioctl_mem_alloc],[mem_handle; pa; mc_handle]
7,ncdev_mem_buf_copy,user_copy_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction Score (70)**: The function `ncdev_mem_buf_copy` is involved in copying memory buffers, which is relevant for AI Accelerator integration as it handles memory management between...",[struct neuron_ioctl_mem_buf_copy; struct neuron_ioctl_mem_buf_copy64],[mem_handle; buffer; size; offset; copy_to_mem_handle; mc->va; mc->pa; mc->mc_handle]
8,ncdev_ioctl,ioctl_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction Score (70%)**: The function `ncdev_ioctl` handles various IOCTL commands that are likely related to memory management and DMA operations, which are critical for AI Accelerator...",[struct neuron_attached_process; struct mem_chunk],[phys_addr_t; neuron_mc_handle_t; void* (for memory addresses); int (for process IDs)]
9,ncdev_misc_ioctl,ioctl_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (0)**: The function `ncdev_misc_ioctl` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily serves as an IOCTL h...,None,None
10,ncdev_mem_get_info_deprecated,user_copy_operations,Relevant_KD_Entry_Point,80,"**AIARelevantFunction Score (70)**: The function `ncdev_mem_get_info_deprecated` interacts with memory management, specifically retrieving information about a memory chunk associated with an AI Acc...",[struct neuron_ioctl_mem_get_info; struct mem_chunk],[mem_handle; pa; mmap_offset; mc_handle]
11,ncdev_acquire_neuron_ds,user_copy_operations,Relevant_KD_Entry_Point,80,"**AIARelevantFunction (70%)**: The function `ncdev_acquire_neuron_ds` interacts with shared memory through the `mem_chunk` structure, which contains fields like `pa` (physical address) and `va` (vi...",[struct neuron_ioctl_neuron_ds_info],[pid; mmap_offset; size; pa; va]
12,ncdev_mem_get_pa_deprecated,user_copy_operations,Relevant_KD_Entry_Point,80,**AIARelevantFunction Score (70)**: The function `ncdev_mem_get_pa_deprecated` is involved in obtaining a physical address (PA) for a memory chunk associated with an AI Accelerator. It uses the `ne...,[struct neuron_ioctl_mem_get_pa; struct mem_chunk],[mem_handle; pa; mc_handle; pa (from mem_chunk)]
13,ncdev_bar_read,user_copy_operations,Relevant_KD_Entry_Point,60,"**AIARelevantFunction Score (70)**: The function `ncdev_bar_read` interacts with memory management and data transfer, which are relevant for AI Accelerator integration. It allocates memory for data...",[mem_chunk; neuron_device],[pa (physical address); va (virtual address); nc_id (neuron chunk ID)]
1,ncdev_device_basic_info,user_copy_operations,Message_Structure_Handling,100,"**AIARelevantFunction Score (0)**: The function `ncdev_device_basic_info` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It does not pin user pages, iterate...",[struct neuron_ioctl_device_basic_info],[None identified]
2,ncdev_compatible_version,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `ncdev_compatible_version` does not involve any operations that directly relate to sharing memory with an AI Accelerator (AIA). It primarily retrieve...,[struct neuron_ioctl_compatible_version],[None identified]
3,ncdev_device_bdf,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `ncdev_device_bdf` does not interact with an AI Accelerator (AIA) or shared memory management relevant to AIA operations. It primarily retrieves PCI ...,[struct neuron_ioctl_device_bdf],[bus_number; slot; func]
4,ncdev_device_info,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `ncdev_device_info` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily retrieves device information...,[struct neuron_ioctl_device_info],[connected_devices; bar_address; bar_size]
5,ncdev_cinit_set_state,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `ncdev_cinit_set_state` does not directly involve operations related to sharing memory with an AI Accelerator (AIA). It primarily handles setting the...,[struct neuron_ioctl_cinit_set],[nc_id]
6,ncdev_semaphore_ioctl,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `ncdev_semaphore_ioctl` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that is typical for AIA integ...,[struct neuron_ioctl_semaphore],[nc_id; semaphore_index; value]
7,ncdev_nc_model_started_count,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0%)**: The function `ncdev_nc_model_started_count` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on retri...,[struct neuron_ioctl_nc_model_started_count],[nc_id; started_count]
8,ncdev_mem_get_info_deprecated,user_copy_operations,Message_Structure_Handling,90,"**AIARelevantFunction Score (70)**: The function `ncdev_mem_get_info_deprecated` interacts with memory management, specifically retrieving information about a memory chunk associated with an AI Acc...",[struct neuron_ioctl_mem_get_info; struct mem_chunk],[mem_handle; pa; mmap_offset; mc_handle]
9,ncdev_acquire_neuron_ds,user_copy_operations,Message_Structure_Handling,90,"**AIARelevantFunction (70%)**: The function `ncdev_acquire_neuron_ds` interacts with shared memory through the `mem_chunk` structure, which contains fields like `pa` (physical address) and `va` (vi...",[struct neuron_ioctl_neuron_ds_info],[pid; mmap_offset; size; pa; va]
10,ncdev_mem_get_pa_deprecated,user_copy_operations,Message_Structure_Handling,90,**AIARelevantFunction Score (70)**: The function `ncdev_mem_get_pa_deprecated` is involved in obtaining a physical address (PA) for a memory chunk associated with an AI Accelerator. It uses the `ne...,[struct neuron_ioctl_mem_get_pa; struct mem_chunk],[mem_handle; pa; mc_handle; pa (from mem_chunk)]
