Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,gk20a_channel_ioctl,user_copy_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80%)**: The function `gk20a_channel_ioctl` interacts with various structures that are relevant for managing channels in the context of an AI accelerator. It handles com...,[nvgpu_channel_open_args; nvgpu_alloc_obj_ctx_args; nvgpu_channel_setup_bind_args; nvgpu_alloc_gpfifo_ex_args; nvgpu_submit_gpfifo_args; nvgpu_wait_args; nvgpu_set_error_notifier; nvgpu_set_timeout_args; nvgpu_set_timeout_ex_args; nvgpu_get_param_args],[chid; tsgid; userd_dmabuf_fd; gpfifo_dmabuf_fd; userd_dmabuf_offset; gpfifo_dmabuf_offset; userd_iova; userd_offset]
2,gk20a_as_dev_ioctl,user_copy_operations,AIARelevantFunction,80,No reasoning provided,[nvgpu_as_bind_channel_args; nvgpu32_as_alloc_space_args; nvgpu_as_alloc_space_args; nvgpu_as_free_space_args; nvgpu_as_map_buffer_ex_args; nvgpu_as_unmap_buffer_args; nvgpu_as_get_va_regions_args; nvgpu_as_map_buffer_batch_args; nvgpu_as_get_sync_ro_map_args; nvgpu_as_mapping_modify_args; nvgpu_as_remap_args],[channel_fd; pages; page_size; flags; offset; buffer_offset; buffer_size; base_gpuva; num_syncpoints]
3,nvgpu_vm_unmap_system,dma_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `nvgpu_vm_unmap_system` interacts with a mapped buffer (`nvgpu_mapped_buf`) and performs operations that are relevant to memory management, specific...",[None identified],[None identified]
4,nvmap_handle_get_from_id,dma_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `nvmap_handle_get_from_id` interacts with DMA buffers, which are crucial for memory management in AI Accelerator contexts. It uses `dma_buf_get` and...",[nvmap_handle_info; dma_buf],[dma_buf; nvmap_handle; nvmap_client]
5,gk20a_ioctl_channel_submit_gpfifo,ioctl_operations,AIARelevantFunction,70,"**AIARelevantFunction (70%)**: The function `gk20a_ioctl_channel_submit_gpfifo` interacts with the GPU's command submission mechanism, which is relevant for AI Accelerator integration. It handles u...",[nvgpu_submit_gpfifo_args; nvgpu_gpfifo_userdata; nvgpu_user_fence],[fence.id; fence.value; args.gpfifo; args.num_entries; args.flags; userdata.entries]
6,nvmap_ioctl,ioctl_operations,AIARelevantFunction,70,**AIARelevantFunction (70%)**: The function `nvmap_ioctl` is involved in handling various IOCTL commands that can be related to memory management and operations that may involve shared memory with ...,[nvmap_rw_handle; nvmap_cache_op; nvmap_cache_op_32; nvmap_cache_op_64],[addr; handle; len]
7,_nvmap_handle_free,functions_by_file,AIARelevantFunction,20,"**AIARelevantFunction (20%)**: The function `_nvmap_handle_free` primarily deals with freeing resources associated with a `nvmap_handle`. While it does manage memory and references to DMA buffers, ...",[struct nvmap_handle; struct nvmap_handle_dmabuf_priv],[vaddr; size; orig_size; dma_buf; dma_buf_ro]
8,_nvmap_dmabuf_unmap_dma_buf,functions_by_file,AIARelevantFunction,20,"**AIARelevantFunction Score (20)**: The function `_nvmap_dmabuf_unmap_dma_buf` primarily deals with unmapping a DMA buffer from a device, which is somewhat related to memory management but does not...",None,None
1,nvmap_ioctl_free,dma_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `nvmap_ioctl_free` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily deals with freeing a...,None,None
2,gk20a_as_ioctl_unmap_buffer,ioctl_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `gk20a_as_ioctl_unmap_buffer` does not involve any operations that directly relate to sharing memory with an AI Accelerator (AIA). It primarily focus...,None,None
