Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,nvgpu_mm_pin,dma_operations,AIARelevantFunction,90,"**AIARelevantFunction Score (90)**: The function `nvgpu_mm_pin` is heavily involved in memory management for DMA buffers, which is crucial for AI Accelerator integration. It uses `dma_buf_attach` a...",[struct dma_buf; struct dma_buf_attachment; struct sg_table],[dma_addr_t; u64 regs_bus_addr; u64 usermode_regs_bus_addr; u64 gpu_va; u64 pa_base]
2,_nvmap_dmabuf_map_dma_buf,functions_by_file,AIARelevantFunction,85,"**AIARelevantFunction Score (85)**: The function `_nvmap_dmabuf_map_dma_buf` is involved in mapping a DMA buffer to a device, which is a critical operation for enabling an AI Accelerator (AIA) to a...",[struct dma_buf_attachment; struct nvmap_handle_info; struct sg_table; struct dma_buf],[dma_address; phys_addr; device; dma_buf; nvmap_handle]
3,gk20a_channel_ioctl,user_copy_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gk20a_channel_ioctl` is involved in managing channels for the GPU, which includes operations that are relevant for AI Accelerator integration. It h...",[nvgpu_alloc_obj_ctx_args; nvgpu_channel_setup_bind_args; nvgpu_alloc_gpfifo_ex_args; nvgpu_wait_args; nvgpu_set_error_notifier; nvgpu_set_timeout_args; nvgpu_set_timeout_ex_args; nvgpu_get_param_args],[userd_dmabuf_fd; gpfifo_dmabuf_fd; userd_dmabuf_offset; gpfifo_dmabuf_offset; userd_iova; virt_ctx]
4,gk20a_as_dev_ioctl,user_copy_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `gk20a_as_dev_ioctl` interacts with various memory management operations that are relevant to the AI Accelerator (AIA). It handles commands that inv...,[nvgpu_as_bind_channel_args; nvgpu32_as_alloc_space_args; nvgpu_as_alloc_space_args; nvgpu_as_free_space_args; nvgpu_as_map_buffer_ex_args; nvgpu_as_unmap_buffer_args; nvgpu_as_get_va_regions_args; nvgpu_as_map_buffer_batch_args; nvgpu_as_get_sync_ro_map_args; nvgpu_as_mapping_modify_args; nvgpu_as_remap_args],[channel_fd; pages; page_size; flags; buffer_offset; mapping_size; offset; base_gpuva; sync_size; num_syncpoints]
5,nvgpu_dma_alloc_flags_sys,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `nvgpu_dma_alloc_flags_sys` is responsible for allocating DMA memory, which is crucial for enabling the AI Accelerator (AIA) to access shared memory...",[nvgpu_mem; sg_table],[gpu_va; cpu_va; size; aligned_size; dma_address; dma_length]
6,handle_page_alloc,functions_by_file,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `handle_page_alloc` is primarily responsible for allocating memory pages for a given `nvmap_handle`. It utilizes various memory management technique...,[nvmap_handle],[size; vaddr; pages; dma_buf]
7,alloc_handle_from_va,functions_by_file,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `alloc_handle_from_va` is involved in memory management that is relevant to AI Accelerator integration. It pins user pages to memory using `nvmap_ge...,None,vaddr; size; flags
8,__dma_buf_export,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `__dma_buf_export` is involved in exporting a DMA buffer, which is critical for sharing memory with an AI Accelerator (AIA). It utilizes the `dma_bu...",[dma_buf_export_info],[phys_addr_t; size_t; dma_buf*; module*; void*]
9,nvgpu_vm_map_buffer,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `nvgpu_vm_map_buffer` is involved in mapping a DMA buffer to a virtual address space, which is critical for enabling an AI Accelerator (AIA) to acce...",[vm_gk20a_mapping_batch],[buffer_offset; mapping_size; dmabuf->size; *map_addr]
10,nvgpu_usermode_buf_from_dmabuf,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `nvgpu_usermode_buf_from_dmabuf` is involved in managing DMA buffers, which are critical for sharing memory with AI Accelerators (AIA). It uses `dma...",[struct nvgpu_usermode_buf_linux; struct nvgpu_mem],[dma_buf; dma_buf_attachment; sg_table]
