Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,drivers/remoteproc/remoteproc_core.c:rproc_alloc_carveout,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `rproc_alloc_carveout` is involved in allocating coherent DMA memory, which is critical for enabling communication between the CPU and an AI Acceler...",[struct rproc_mem_entry],[dma; da; va]
2,drivers/rpmsg/virtio_rpmsg_bus.c:rpmsg_probe,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction (80)**: The function `rpmsg_probe` is involved in setting up communication between the host and a remote processor via the RPMsg protocol, which often involves shared memory m...",[virtproc_info; rpmsg_device; scatterlist],[bufs_dma; dma_address]
3,rproc_alloc_carveout,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `rproc_alloc_carveout` is involved in allocating coherent DMA memory for a remote processor (AIA). It uses `dma_alloc_coherent`, which is a critical...",[struct rproc_mem_entry],[dma; da; va]
4,rpmsg_probe,dma_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `rpmsg_probe` is involved in setting up communication between the host and the AI Accelerator (AIA) through the RPMsg protocol. It allocates coheren...,[virtproc_info; rpmsg_device; scatterlist],[dma_address; bufs_dma; src; dst]
5,drivers/remoteproc/remoteproc_core.c:rproc_alloc_vring,functions_by_file,AIARelevantFunction,60,**AIARelevantFunction Score (60)**: The function `rproc_alloc_vring` is involved in allocating and managing virtual rings for a remote processor (rproc). It interacts with the `fw_rsc_vdev` structu...,[struct fw_rsc_vdev; struct rproc_mem_entry],[u32 da; u32 notifyid; u32 rsc_offset; u32 len]
6,drivers/dma-buf/heaps/carveout-heap.c:rmem_dma_heap_carveout_setup,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `rmem_dma_heap_carveout_setup` does not interact with an AI Accelerator (AIA) or perform any operations related to shared memory management that woul...,None,None
7,drivers/dma-buf/heaps/carveout-heap.c:carveout_dma_heap_init_areas,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `carveout_dma_heap_init_areas` does not interact with an AI Accelerator (AIA) or perform any operations related to shared memory management that woul...,None,None
8,drivers/dma-buf/heaps/carveout-heap.c:carveout_dma_heap_export,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `carveout_dma_heap_export` does not interact with an AI Accelerator (AIA) or perform any operations related to shared memory management that would ty...,None,None
9,drivers/remoteproc/remoteproc_core.c:remoteproc_init,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The `remoteproc_init` function does not involve any operations related to shared memory management or interactions with an AI Accelerator (AIA). It primarily ini...,None,None
10,drivers/remoteproc/remoteproc_core.c:rproc_init_panic,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `rproc_init_panic` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily registers a notifier ca...,None,None
