Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,rproc_alloc_carveout,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction (80%)**: The function `rproc_alloc_carveout` is involved in allocating coherent DMA memory, which is critical for AI Accelerator integration. It uses `dma_alloc_coherent`, whi...",[struct rproc_mem_entry],[dma; da; va]
2,rpmsg_probe,functions_by_file,AIARelevantFunction,80,**AIARelevantFunction (80)**: The function `rpmsg_probe` is involved in setting up communication between the host and a remote processor using the RPMsg protocol. It allocates coherent memory for b...,[virtproc_info; rpmsg_device; scatterlist],[bufs_dma; dma_address]
3,rpmsg_sg_init,functions_by_file,AIARelevantFunction,40,"**AIARelevantFunction (40%)**: The function `rpmsg_sg_init` initializes a scatter-gather list, which is often used in DMA operations. While it does not directly interact with an AI Accelerator (AIA...",struct scatterlist,dma_address; length
1,rpmsg_probe,functions_by_file,Relevant_KD_Entry_Point,70,**AIARelevantFunction (80)**: The function `rpmsg_probe` is involved in setting up communication between the host and a remote processor using the RPMsg protocol. It allocates coherent memory for b...,[virtproc_info; rpmsg_device; scatterlist],[bufs_dma; dma_address]
2,rproc_alloc_carveout,functions_by_file,Relevant_KD_Entry_Point,60,"**AIARelevantFunction (80%)**: The function `rproc_alloc_carveout` is involved in allocating coherent DMA memory, which is critical for AI Accelerator integration. It uses `dma_alloc_coherent`, whi...",[struct rproc_mem_entry],[dma; da; va]
3,rpmsg_sg_init,functions_by_file,Relevant_KD_Entry_Point,20,"**AIARelevantFunction (40%)**: The function `rpmsg_sg_init` initializes a scatter-gather list, which is often used in DMA operations. While it does not directly interact with an AI Accelerator (AIA...",struct scatterlist,dma_address; length
1,rproc_alloc_carveout,functions_by_file,Message_Structure_Handling,90,"**AIARelevantFunction (80%)**: The function `rproc_alloc_carveout` is involved in allocating coherent DMA memory, which is critical for AI Accelerator integration. It uses `dma_alloc_coherent`, whi...",[struct rproc_mem_entry],[dma; da; va]
2,rpmsg_probe,functions_by_file,Message_Structure_Handling,90,**AIARelevantFunction (80)**: The function `rpmsg_probe` is involved in setting up communication between the host and a remote processor using the RPMsg protocol. It allocates coherent memory for b...,[virtproc_info; rpmsg_device; scatterlist],[bufs_dma; dma_address]
3,rproc_handle_vdev,functions_by_file,Message_Structure_Handling,80,**AIARelevantFunction Score (0)**: The function `rproc_handle_vdev` does not directly interact with an AI Accelerator (AIA) or shared memory management for an AIA. It primarily handles the registra...,[struct fw_rsc_vdev; struct rproc_vdev_data],[id; notifyid; da; pa]
4,rproc_handle_trace,functions_by_file,Message_Structure_Handling,80,**AIARelevantFunction Score (0)**: The function `rproc_handle_trace` does not interact with an AI Accelerator (AIA) or shared memory (SMem) directly. It primarily handles trace resources for a remo...,[fw_rsc_trace; rproc_debug_trace],[da; len]
5,rpmsg_recv_done,functions_by_file,Message_Structure_Handling,80,**AIARelevantFunction Score (0%)**: The function `rpmsg_recv_done` does not interact with an AI Accelerator (AIA) or shared memory (SMem) management. It primarily handles message reception through ...,[struct rpmsg_hdr],[None identified]
6,rpmsg_recv_single,functions_by_file,Message_Structure_Handling,80,**AIARelevantFunction Score (0)**: The function `rpmsg_recv_single` does not directly interact with an AI Accelerator (AIA) or shared memory management relevant to AIA operations. It primarily hand...,[struct rpmsg_hdr; struct rpmsg_endpoint; struct virtproc_info; struct scatterlist],[src; dst; reserved; len; flags; addr; dma_address]
7,virtio_rpmsg_announce_create,functions_by_file,Message_Structure_Handling,80,**AIARelevantFunction Score (0)**: The function `virtio_rpmsg_announce_create` does not interact with an AI Accelerator (AIA) or shared memory (SMem) mechanisms. It primarily deals with announcing ...,[struct rpmsg_ns_msg],[addr; flags]
8,rpmsg_sg_init,functions_by_file,Message_Structure_Handling,60,"**AIARelevantFunction (40%)**: The function `rpmsg_sg_init` initializes a scatter-gather list, which is often used in DMA operations. While it does not directly interact with an AI Accelerator (AIA...",struct scatterlist,dma_address; length
