Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_alloc_internal,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `mc_alloc_internal` is primarily responsible for allocating memory for a device, which is relevant for AI Accelerator integration. It uses `dma_allo...",[struct mem_chunk],[mc->pa; mc->va; mc->nc_id; mc->dram_channel; mc->dram_region]
2,user_copy:ncdev_mem_alloc,user_copy_operations,AIARelevantFunction,80,"**AIARelevantFunction (80%)**: The function `ncdev_mem_alloc` is involved in memory allocation for a neuron device, which is likely to be relevant for an AI Accelerator (AIA). It uses `mc_alloc_ali...",[struct neuron_ioctl_mem_alloc],[mem_handle; size; dram_channel; dram_region; nc_id]
3,mc_alloc_internal,dma_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `mc_alloc_internal` is involved in memory allocation that could be relevant for an AI Accelerator (AIA) context, particularly when it allocates cohe...",[struct mem_chunk],[mc->pa (physical address); mc->va (device virtual address); mc->nc_id (neuron channel ID); mc->pid (process ID)]
4,user_copy:ncdev_mem_get_info_deprecated,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `ncdev_mem_get_info_deprecated` interacts with memory management and handles memory addresses, which is relevant for AI Accelerator integration. It ...",[struct neuron_ioctl_mem_get_info; struct mem_chunk],[mem_handle; pa; mmap_offset; mc_handle]
5,user_copy:ncdev_mem_get_pa_deprecated,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `ncdev_mem_get_pa_deprecated` is involved in obtaining a physical address (PA) from a memory handle, which is relevant for AI Accelerator integrati...",[struct neuron_ioctl_mem_get_pa],[mem_handle; pa]
6,user_copy:ncdev_mem_buf_copy,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `ncdev_mem_buf_copy` is involved in copying memory buffers, which is relevant for AI Accelerator integration. It handles user memory through the `n...",[struct neuron_ioctl_mem_buf_copy; struct neuron_ioctl_mem_buf_copy64],[mem_handle; buffer; copy_to_mem_handle; offset; size]
7,user_copy:ncdev_bar_read,user_copy_operations,AIARelevantFunction,70,**AIARelevantFunction Score (70)**: The function `ncdev_bar_read` is involved in reading data from a device's BAR (Base Address Register) and copying it to user space. It allocates memory for the d...,[mem_chunk; neuron_device],[pa (physical address); va (virtual address); nc_id (neuron chunk ID)]
8,ncdev_ioctl,ioctl_operations,AIARelevantFunction,70,**AIARelevantFunction Score (70%)**: The function `ncdev_ioctl` handles various IOCTL commands that are likely related to memory management and device control for an AI Accelerator. It includes com...,[struct ncdev; struct neuron_device],[device_index; attached_processes; ncdev; pdev]
9,aws-neuronx-2.20.28.0/neuron_mempool.c:mpset_free_expired_mc,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `mpset_free_expired_mc` does not involve any operations related to AI Accelerators or shared memory management. It primarily deals with freeing expi...,None,None
10,aws-neuronx-2.20.28.0/neuron_mempool.c:mpset_get_lifespan_head,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `mpset_get_lifespan_head` does not interact with any AI Accelerator (AIA) relevant memory management or DMA operations. It simply retrieves a pointer...,None,None
11,aws-neuronx-2.20.28.0/neuron_mempool.c:mpset_free_lifespan_list,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `mpset_free_lifespan_list` does not interact with any AI Accelerator (AIA) relevant functions or memory management patterns typically associated with...,None,None
12,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_alloc_align,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `mc_alloc_align` does not appear to directly interact with any AI Accelerator (AIA) relevant operations. It is primarily focused on memory allocatio...,None,None
13,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_add_to_lifespan_list,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `mc_add_to_lifespan_list` does not interact with any AI Accelerator (AIA) relevant operations. It primarily deals with managing a linked list of memo...,None,None
14,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_insert_node,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `mc_insert_node` does not involve any operations related to AI Accelerator integration or shared memory management. It is primarily focused on insert...,None,None
15,aws-neuronx-2.20.28.0/neuron_mempool.c:mpset_search_mc,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `mpset_search_mc` is primarily focused on searching for a memory chunk (`mem_chunk`) within a red-black tree structure (`rb_node`) based on a physica...,None,None
16,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_free,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `mc_free` does not interact with any AI Accelerator (AIA) specific memory management functions or structures. It primarily deals with freeing memory...,None,None
17,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_remove_node,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `mc_remove_node` does not interact with any AI Accelerator (AIA) relevant operations. It simply removes a node from a red-black tree using the `rb_er...,None,None
18,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_remove_from_lifespan_list,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `mc_remove_from_lifespan_list` does not interact with any AI Accelerator (AIA) relevant operations. It simply removes a memory chunk from a lifespan...,None,None
19,user_copy:ncdev_device_basic_info,user_copy_operations,AIARelevantFunction,0,"**AIARelevantFunction Score (0)**: The function `ncdev_device_basic_info` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It does not pin user pages, iterate...",[struct neuron_ioctl_device_basic_info],[None identified]
20,user_copy:ncdev_compatible_version,user_copy_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `ncdev_compatible_version` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily retrieves the ...,[struct neuron_ioctl_compatible_version],[None identified]
21,user_copy:neuron_copy_from_user,user_copy_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `neuron_copy_from_user` does not interact with any AI Accelerator (AIA) specific memory management or DMA operations. It primarily focuses on copying...,None,None
22,user_copy:ncdev_crwl_nc_range_mark,user_copy_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `ncdev_crwl_nc_range_mark` does not directly involve sharing memory with an AI Accelerator (AIA). It primarily handles user commands related to neuro...,[struct neuron_ioctl_crwl_nc_map_ext],[None identified]
23,user_copy:ncdev_crwl_nc_range_mark,user_copy_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `ncdev_crwl_nc_range_mark` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that would qualify it as a...,[struct neuron_ioctl_crwl_nc_map_ext; struct neuron_ioctl_crwl_nc_map],[start_nc_index; end_nc_index; max_nc_available; bitmap]
24,user_copy:ncdev_device_bdf,user_copy_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `ncdev_device_bdf` does not interact with an AI Accelerator (AIA) or shared memory management relevant to AIA operations. It simply retrieves the bu...,[struct neuron_ioctl_device_bdf],[bus_number; slot; func]
25,user_copy:ncdev_device_info,user_copy_operations,AIARelevantFunction,0,"**AIARelevantFunction Score (0)**: The function `ncdev_device_info` does not interact with an AI Accelerator (AIA) or perform operations related to shared memory management, DMA, or memory mapping ...",[struct neuron_ioctl_device_info],[connected_devices; bar_address; bar_size]
26,user_copy:ncdev_mem_get_info_deprecated,user_copy_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `ncdev_mem_get_info_deprecated` does not directly interact with an AI Accelerator (AIA) or manage shared memory in a way that would typically involve...,[struct neuron_ioctl_mem_get_info],[mem_handle; pa; mmap_offset]
27,user_copy:ncdev_acquire_neuron_ds,user_copy_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `ncdev_acquire_neuron_ds` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that would qualify it as an...,[struct neuron_ioctl_neuron_ds_info],[pid; mmap_offset; size]
28,user_copy:ncdev_cinit_set_state,user_copy_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `ncdev_cinit_set_state` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that is typical for AIA inte...,[struct neuron_ioctl_cinit_set],[nc_id]
29,user_copy:ncdev_semaphore_ioctl,user_copy_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `ncdev_semaphore_ioctl` does not interact with an AI Accelerator (AIA) or shared memory (SMem) directly. It primarily handles semaphore operations an...,[struct neuron_ioctl_semaphore],[nc_id; semaphore_index; value]
30,user_copy:ncdev_nc_model_started_count,user_copy_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `ncdev_nc_model_started_count` does not interact with an AI Accelerator (AIA) or shared memory (SMem) in a manner typical of AIA relevant functions....,[struct neuron_ioctl_nc_model_started_count],[nc_id; started_count]
31,ncdev_open,ioctl_operations,AIARelevantFunction,0,"**AIARelevantFunction Score (0)**: The `ncdev_open` function does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily handles the opening of a device, ch...",None,None
32,ncdev_misc_ioctl,ioctl_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `ncdev_misc_ioctl` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily serves as an IOCTL h...,None,None
33,ncdev_crwl_nc_range_mark,ioctl_operations,AIARelevantFunction,0,"**AIARelevantFunction Score (0)**: The function `ncdev_crwl_nc_range_mark` does not directly interact with an AI Accelerator (AIA) or perform operations that are typical for AIA memory management, ...",[struct neuron_ioctl_crwl_nc_map; struct neuron_ioctl_crwl_nc_map_ext],[start_nc_index; end_nc_index; max_nc_available; bitmap]
34,ncdev_release,ioctl_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The `ncdev_release` function does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily handles the release of a d...,None,None
35,ncdev_semaphore_ioctl,ioctl_operations,AIARelevantFunction,0,**AIARelevantFunction (0%)**: The function `ncdev_semaphore_ioctl` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily handles semaphore operations ...,[struct neuron_ioctl_semaphore],[nc_id]
1,user_copy:ncdev_compatible_version,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0%)**: The function `ncdev_compatible_version` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily retrieves the ...,[struct neuron_ioctl_compatible_version],[None identified]
2,user_copy:ncdev_crwl_nc_range_mark,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_crwl_nc_range_mark` does not directly involve sharing memory with an AI Accelerator (AIA). It primarily handles user commands related to neuro...,[struct neuron_ioctl_crwl_nc_map_ext],[None identified]
3,user_copy:ncdev_cinit_set_state,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0%)**: The function `ncdev_cinit_set_state` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that is typical for AIA inte...,[struct neuron_ioctl_cinit_set],[nc_id]
4,user_copy:ncdev_semaphore_ioctl,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_semaphore_ioctl` does not interact with an AI Accelerator (AIA) or shared memory (SMem) directly. It primarily handles semaphore operations an...,[struct neuron_ioctl_semaphore],[nc_id; semaphore_index; value]
5,ncdev_semaphore_ioctl,ioctl_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction (0%)**: The function `ncdev_semaphore_ioctl` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily handles semaphore operations ...,[struct neuron_ioctl_semaphore],[nc_id]
6,user_copy:ncdev_crwl_nc_range_mark,user_copy_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (0)**: The function `ncdev_crwl_nc_range_mark` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that would qualify it as a...,[struct neuron_ioctl_crwl_nc_map_ext; struct neuron_ioctl_crwl_nc_map],[start_nc_index; end_nc_index; max_nc_available; bitmap]
7,user_copy:ncdev_mem_alloc,user_copy_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction (80%)**: The function `ncdev_mem_alloc` is involved in memory allocation for a neuron device, which is likely to be relevant for an AI Accelerator (AIA). It uses `mc_alloc_ali...",[struct neuron_ioctl_mem_alloc],[mem_handle; size; dram_channel; dram_region; nc_id]
8,user_copy:ncdev_mem_buf_copy,user_copy_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction Score (70%)**: The function `ncdev_mem_buf_copy` is involved in copying memory buffers, which is relevant for AI Accelerator integration. It handles user memory through the `n...",[struct neuron_ioctl_mem_buf_copy; struct neuron_ioctl_mem_buf_copy64],[mem_handle; buffer; copy_to_mem_handle; offset; size]
9,ncdev_ioctl,ioctl_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (70%)**: The function `ncdev_ioctl` handles various IOCTL commands that are likely related to memory management and device control for an AI Accelerator. It includes com...,[struct ncdev; struct neuron_device],[device_index; attached_processes; ncdev; pdev]
10,ncdev_misc_ioctl,ioctl_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (0)**: The function `ncdev_misc_ioctl` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily serves as an IOCTL h...,None,None
11,ncdev_crwl_nc_range_mark,ioctl_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction Score (0)**: The function `ncdev_crwl_nc_range_mark` does not directly interact with an AI Accelerator (AIA) or perform operations that are typical for AIA memory management, ...",[struct neuron_ioctl_crwl_nc_map; struct neuron_ioctl_crwl_nc_map_ext],[start_nc_index; end_nc_index; max_nc_available; bitmap]
12,user_copy:ncdev_mem_get_info_deprecated,user_copy_operations,Relevant_KD_Entry_Point,80,"**AIARelevantFunction Score (70)**: The function `ncdev_mem_get_info_deprecated` interacts with memory management and handles memory addresses, which is relevant for AI Accelerator integration. It ...",[struct neuron_ioctl_mem_get_info; struct mem_chunk],[mem_handle; pa; mmap_offset; mc_handle]
13,user_copy:ncdev_mem_get_info_deprecated,user_copy_operations,Relevant_KD_Entry_Point,80,**AIARelevantFunction Score (0)**: The function `ncdev_mem_get_info_deprecated` does not directly interact with an AI Accelerator (AIA) or manage shared memory in a way that would typically involve...,[struct neuron_ioctl_mem_get_info],[mem_handle; pa; mmap_offset]
