Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_alloc_internal,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `mc_alloc_internal` is involved in memory allocation that could be relevant for an AI Accelerator (AIA) context, particularly through the use of `dm...",[struct mem_chunk],[mc->pa (physical address); mc->va (device virtual address); mc->mc_handle (memory chunk handle); mc->pid (process ID)]
2,mc_alloc_internal,dma_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `mc_alloc_internal` is responsible for allocating memory chunks that may be used by an AI Accelerator (AIA). It utilizes `dma_alloc_coherent`, which...",[struct mem_chunk],[mc->pa; mc->va; mc->nc_id; mc->dram_channel; mc->dram_region]
3,aws-neuronx-2.20.28.0/neuron_mempool.c:mpset_constructor,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `mpset_constructor` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on initializing a m...,None,None
4,aws-neuronx-2.20.28.0/neuron_mempool.c:mp_init_hrm_pool,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `mp_init_hrm_pool` does not interact with an AI Accelerator (AIA) or shared memory (SMem) relevant to AIA operations. It primarily focuses on initial...,None,None
5,aws-neuronx-2.20.28.0/neuron_mempool.c:mpset_init_device_pools,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `mpset_init_device_pools` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily initializes ...,None,None
6,aws-neuronx-2.20.28.0/neuron_mempool.c:mp_init_device_mem,functions_by_file,AIARelevantFunction,0,"**AIARelevantFunction Score (0%)**: The function `mp_init_device_mem` is primarily focused on initializing a memory pool for a device, specifically setting up memory allocation configurations and m...",None,None
7,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_alloc_align,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `mc_alloc_align` does not directly interact with any AI Accelerator (AIA) related memory management functions or structures. It simply calls `mc_all...,None,None
8,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_add_to_lifespan_list,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `mc_add_to_lifespan_list` does not interact with any AI Accelerator (AIA) relevant operations. It simply adds a memory chunk (`mem_chunk`) to a life...,None,None
9,aws-neuronx-2.20.28.0/neuron_mempool.c:mpset_get_lifespan_head,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `mpset_get_lifespan_head` does not interact with any AI Accelerator (AIA) relevant functions or memory management patterns that would typically invol...,None,None
10,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_insert_node,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `mc_insert_node` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily deals with inserting a memory c...,None,None
11,mp_init_hrm_pool,dma_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `mp_init_hrm_pool` does not interact with an AI Accelerator (AIA) or shared memory (SMem) in a manner typical for AIA integration. It primarily focus...,None,None
12,mp_init_hrm_pool,dma_operations,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `mp_init_hrm_pool` does not interact with an AI Accelerator (AIA) or perform operations related to shared memory (SMem) with an AIA. It primarily foc...,None,None
1,aws-neuronx-2.20.28.0/neuron_mempool.c:mpset_constructor,functions_by_file,Relevant_KD_Entry_Point,0,**AIARelevantFunction Score (0%)**: The function `mpset_constructor` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on initializing a m...,None,None
2,aws-neuronx-2.20.28.0/neuron_mempool.c:mp_init_hrm_pool,functions_by_file,Relevant_KD_Entry_Point,0,**AIARelevantFunction Score (0)**: The function `mp_init_hrm_pool` does not interact with an AI Accelerator (AIA) or shared memory (SMem) relevant to AIA operations. It primarily focuses on initial...,None,None
3,aws-neuronx-2.20.28.0/neuron_mempool.c:mpset_init_device_pools,functions_by_file,Relevant_KD_Entry_Point,0,**AIARelevantFunction Score (0%)**: The function `mpset_init_device_pools` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily initializes ...,None,None
4,aws-neuronx-2.20.28.0/neuron_mempool.c:mp_init_device_mem,functions_by_file,Relevant_KD_Entry_Point,0,"**AIARelevantFunction Score (0%)**: The function `mp_init_device_mem` is primarily focused on initializing a memory pool for a device, specifically setting up memory allocation configurations and m...",None,None
5,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_alloc_align,functions_by_file,Relevant_KD_Entry_Point,0,**AIARelevantFunction Score (0%)**: The function `mc_alloc_align` does not directly interact with any AI Accelerator (AIA) related memory management functions or structures. It simply calls `mc_all...,None,None
6,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_alloc_internal,functions_by_file,Relevant_KD_Entry_Point,0,"**AIARelevantFunction Score (70)**: The function `mc_alloc_internal` is involved in memory allocation that could be relevant for an AI Accelerator (AIA) context, particularly through the use of `dm...",[struct mem_chunk],[mc->pa (physical address); mc->va (device virtual address); mc->mc_handle (memory chunk handle); mc->pid (process ID)]
7,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_add_to_lifespan_list,functions_by_file,Relevant_KD_Entry_Point,0,**AIARelevantFunction Score (0%)**: The function `mc_add_to_lifespan_list` does not interact with any AI Accelerator (AIA) relevant operations. It simply adds a memory chunk (`mem_chunk`) to a life...,None,None
8,aws-neuronx-2.20.28.0/neuron_mempool.c:mpset_get_lifespan_head,functions_by_file,Relevant_KD_Entry_Point,0,**AIARelevantFunction Score (0)**: The function `mpset_get_lifespan_head` does not interact with any AI Accelerator (AIA) relevant functions or memory management patterns that would typically invol...,None,None
9,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_insert_node,functions_by_file,Relevant_KD_Entry_Point,0,**AIARelevantFunction Score (0)**: The function `mc_insert_node` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily deals with inserting a memory c...,None,None
10,mp_init_hrm_pool,dma_operations,Relevant_KD_Entry_Point,0,**AIARelevantFunction Score (0)**: The function `mp_init_hrm_pool` does not interact with an AI Accelerator (AIA) or shared memory (SMem) in a manner typical for AIA integration. It primarily focus...,None,None
11,mp_init_hrm_pool,dma_operations,Relevant_KD_Entry_Point,0,**AIARelevantFunction Score (0)**: The function `mp_init_hrm_pool` does not interact with an AI Accelerator (AIA) or perform operations related to shared memory (SMem) with an AIA. It primarily foc...,None,None
12,mc_alloc_internal,dma_operations,Relevant_KD_Entry_Point,0,"**AIARelevantFunction Score (70)**: The function `mc_alloc_internal` is responsible for allocating memory chunks that may be used by an AI Accelerator (AIA). It utilizes `dma_alloc_coherent`, which...",[struct mem_chunk],[mc->pa; mc->va; mc->nc_id; mc->dram_channel; mc->dram_region]
1,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_alloc_internal,functions_by_file,Message_Structure_Handling,80,"**AIARelevantFunction Score (70)**: The function `mc_alloc_internal` is involved in memory allocation that could be relevant for an AI Accelerator (AIA) context, particularly through the use of `dm...",[struct mem_chunk],[mc->pa (physical address); mc->va (device virtual address); mc->mc_handle (memory chunk handle); mc->pid (process ID)]
2,mc_alloc_internal,dma_operations,Message_Structure_Handling,60,"**AIARelevantFunction Score (70)**: The function `mc_alloc_internal` is responsible for allocating memory chunks that may be used by an AI Accelerator (AIA). It utilizes `dma_alloc_coherent`, which...",[struct mem_chunk],[mc->pa; mc->va; mc->nc_id; mc->dram_channel; mc->dram_region]
3,aws-neuronx-2.20.28.0/neuron_mempool.c:mpset_constructor,functions_by_file,Message_Structure_Handling,0,**AIARelevantFunction Score (0%)**: The function `mpset_constructor` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on initializing a m...,None,None
4,aws-neuronx-2.20.28.0/neuron_mempool.c:mp_init_hrm_pool,functions_by_file,Message_Structure_Handling,0,**AIARelevantFunction Score (0)**: The function `mp_init_hrm_pool` does not interact with an AI Accelerator (AIA) or shared memory (SMem) relevant to AIA operations. It primarily focuses on initial...,None,None
5,aws-neuronx-2.20.28.0/neuron_mempool.c:mpset_init_device_pools,functions_by_file,Message_Structure_Handling,0,**AIARelevantFunction Score (0%)**: The function `mpset_init_device_pools` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily initializes ...,None,None
6,aws-neuronx-2.20.28.0/neuron_mempool.c:mp_init_device_mem,functions_by_file,Message_Structure_Handling,0,"**AIARelevantFunction Score (0%)**: The function `mp_init_device_mem` is primarily focused on initializing a memory pool for a device, specifically setting up memory allocation configurations and m...",None,None
7,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_alloc_align,functions_by_file,Message_Structure_Handling,0,**AIARelevantFunction Score (0%)**: The function `mc_alloc_align` does not directly interact with any AI Accelerator (AIA) related memory management functions or structures. It simply calls `mc_all...,None,None
8,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_add_to_lifespan_list,functions_by_file,Message_Structure_Handling,0,**AIARelevantFunction Score (0%)**: The function `mc_add_to_lifespan_list` does not interact with any AI Accelerator (AIA) relevant operations. It simply adds a memory chunk (`mem_chunk`) to a life...,None,None
9,aws-neuronx-2.20.28.0/neuron_mempool.c:mpset_get_lifespan_head,functions_by_file,Message_Structure_Handling,0,**AIARelevantFunction Score (0)**: The function `mpset_get_lifespan_head` does not interact with any AI Accelerator (AIA) relevant functions or memory management patterns that would typically invol...,None,None
10,aws-neuronx-2.20.28.0/neuron_mempool.c:mc_insert_node,functions_by_file,Message_Structure_Handling,0,**AIARelevantFunction Score (0)**: The function `mc_insert_node` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily deals with inserting a memory c...,None,None
11,mp_init_hrm_pool,dma_operations,Message_Structure_Handling,0,**AIARelevantFunction Score (0)**: The function `mp_init_hrm_pool` does not interact with an AI Accelerator (AIA) or shared memory (SMem) in a manner typical for AIA integration. It primarily focus...,None,None
12,mp_init_hrm_pool,dma_operations,Message_Structure_Handling,0,**AIARelevantFunction Score (0)**: The function `mp_init_hrm_pool` does not interact with an AI Accelerator (AIA) or perform operations related to shared memory (SMem) with an AIA. It primarily foc...,None,None
