Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,drivers/mxc/gpu-viv/hal/os/linux/kernel/gc_hal_kernel_iommu.c:gckIOMMU_Construct,functions_by_file,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `gckIOMMU_Construct` is involved in memory management that is crucial for the integration of an AI Accelerator (AIA). It utilizes `dma_map_page` and...,[gcsIOMMU; device; iommu_domain],[dmaHandle; phys; paddingPageDmaHandle]
2,gckIOMMU_Construct,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gckIOMMU_Construct` is involved in managing memory for an IOMMU (Input/Output Memory Management Unit), which is crucial for AI Accelerator integrat...",[gcsIOMMU; device; iommu_domain],[paddingPageDmaHandle; domain; device]
3,_GFPAlloc,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `_GFPAlloc` is involved in memory allocation and management, which is crucial for AI Accelerator integration. It utilizes `dma_map_page` and `dma_ma...",[LINUX_MDL; gfp_mdl_priv],[dmaHandle; addr; bytes; numPages]
4,_GFPAlloc,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `_GFPAlloc` is primarily responsible for allocating memory, which is a critical operation when integrating with an AI Accelerator (AIA). It utilizes...",[LINUX_MDL; gfp_mdl_priv; sg_table],[dmaHandle; dma_addr; physical addresses; logical addresses]
5,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_gfp.c:_GFPAlloc,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `_GFPAlloc` is primarily focused on memory allocation, which is crucial for AI Accelerator integration. It utilizes functions like `dma_map_page` an...",[LINUX_MDL; gfp_mdl_priv; sg_table],[dmaHandle; dma_addr; pageUnit1M; contiguousPages]
6,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_gfp.c:_GFPMapKernel,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction (70%)**: The function `_GFPMapKernel` is involved in memory management, specifically mapping kernel memory for use by an AI Accelerator. It utilizes the `vmap` function to cre...",[LINUX_MDL],[dmaHandle; addr; numPages]
7,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_NODE_LockCPU,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `gckVIDMEM_NODE_LockCPU` is involved in managing video memory, which is relevant for AI accelerators that require efficient memory access. The func...",None,None
8,drivers/mxc/gpu-viv/hal/kernel/gc_hal_kernel_video_memory.c:gckVIDMEM_AllocateLinear,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `gckVIDMEM_AllocateLinear` is primarily focused on allocating linear video memory, which is relevant for AI accelerators that require efficient memo...",[gcuVIDMEM_NODE; gckVIDMEM],[physical address; processID; bytes; alignment]
9,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_gfp.c:_GFPAlloctorInit,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `_GFPAlloctorInit` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on initializing an a...,None,None
10,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_gfp.c:_GFPAllocatorDebugfsInit,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `_GFPAllocatorDebugfsInit` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily initializes a d...,None,None
11,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/default/gc_hal_kernel_allocator_gfp.c:_GFPPhysical,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `_GFPPhysical` does not interact with an AI Accelerator (AIA) or shared memory (SMem) directly. It primarily deals with physical address calculations...,None,None
12,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/freescale/gc_hal_kernel_allocator_cma.c:_CMAFSLAlloctorInit,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `_CMAFSLAlloctorInit` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on initializing a...,None,None
13,drivers/mxc/gpu-viv/hal/os/linux/kernel/allocator/freescale/gc_hal_kernel_allocator_cma.c:_CMAAllocatorDebugfsInit,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `_CMAAllocatorDebugfsInit` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily initializes a debug f...,None,None
