Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,import_page_map,functions_by_file,AIARelevantFunction,90,"**AIARelevantFunction Score (90)**: The function `import_page_map` is heavily involved in managing memory pages that are likely to be shared with an AI Accelerator (AIA). It uses `pin_user_pages`, ...",[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; user_vaddr; size; pageCount; chunk_count; dma_address]
2,_Import,functions_by_file,AIARelevantFunction,85,**AIARelevantFunction Score (85%)**: The function `_Import` is heavily involved in managing memory that is likely shared with an AI Accelerator (AIA). It performs operations such as verifying memor...,[struct um_desc],[user_vaddr; dmaHandle; pageCount; extraPage; offset]
3,gckVIDMEM_NODE_WrapUserMemory,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gckVIDMEM_NODE_WrapUserMemory` is involved in managing memory that can be shared with an AI Accelerator (AIA). It utilizes the `dma_buf` structure,...",[gcsUSER_MEMORY_DESC; dma_buf; gcuVIDMEM_NODE],[handle; dmabuf; logical; physical; size]
4,_UserMemoryPhysical,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `_UserMemoryPhysical` is involved in obtaining physical addresses for user memory, which is crucial for sharing memory with an AI Accelerator (AIA)....",[struct um_desc; struct LINUX_MDL],[dmaHandle; physical; page_to_phys; userMemory->pages[index]]
5,release_page_map,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `release_page_map` is involved in managing DMA operations, which are critical for AI Accelerator integration. It utilizes `dma_sync_sg_for_device`, ...",[struct um_desc; struct sg_table; struct scatterlist],[dmaHandle; dma_address; page_link]
6,drv_ioctl,user_copy_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `drv_ioctl` is involved in handling IOCTL commands that interact with the AI Accelerator (AIA). It uses `copy_from_user()` to retrieve user data int...,[DRIVER_ARGS; gcsHAL_INTERFACE; gcsHAL_PROFILER_INTERFACE],[InputBuffer; OutputBuffer; InputBufferSize; OutputBufferSize; devIndex; physicalAddress]
7,gckVIDMEM_NODE_LockCPU,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `gckVIDMEM_NODE_LockCPU` is involved in managing video memory, which is relevant for AI Accelerator integration. It handles locking and mapping vid...",None,None
8,_ConvertPhysical,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `_ConvertPhysical` is involved in converting a physical address to a GPU physical address, which is relevant for memory management in the context of...",None,None
9,_UserMemoryAttach,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `_UserMemoryAttach` is involved in managing user memory, which is crucial for AI Accelerator integration. It allocates a user memory descriptor (`um...",[gcsATTACH_DESC; um_desc; LINUX_MDL],[Desc->userMem.memory; Desc->userMem.physical; Desc->userMem.size; userMemory->dmaHandle]
10,_UserMemoryCache,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `_UserMemoryCache` is involved in managing memory operations that could be relevant for an AI Accelerator (AIA) context, particularly in terms of ca...",[struct um_desc; struct LINUX_MDL],[dmaHandle; user_vaddr; size]
11,gckVIDMEM_AllocateLinear,functions_by_file,AIARelevantFunction,60,"**AIARelevantFunction Score (60)**: The function `gckVIDMEM_AllocateLinear` is primarily focused on allocating video memory, which is relevant for AI accelerators that require efficient memory mana...",[gckVIDMEM; gcuVIDMEM_NODE],[physical; physicalBase; bytes; freeBytes; minFreeBytes; alignment; processID]
