Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,dma_buf_phys_convert,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction (80%)**: The function `dma_buf_phys_convert` is involved in converting a DMA buffer file descriptor to a physical address, which is crucial for AI Accelerator integration. It ...",[dma_buf_phys_file; dma_buf; dma_buf_attachment; sg_table],[dma_addr; dma_buf; dma_buf_attachment; sg_table]
2,dma_buf_phys_convert,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction (80)**: The function `dma_buf_phys_convert` is involved in converting a DMA buffer file descriptor to a physical address. It utilizes the `dma_buf_get`, `dma_buf_attach`, and ...",[struct dma_buf_phys_file; struct dma_buf; struct dma_buf_attachment; struct sg_table],[dma_addr; dma_buf; dma_buf_attachment; sg_table]
3,dma_buf_phys_convert,dma_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `dma_buf_phys_convert` is involved in converting a DMA buffer file descriptor to a physical address. It utilizes several key functions such as `dma_...,[dma_buf_phys_file; dma_buf; dma_buf_attachment; sg_table],[dma_addr; dma_buf; dma_buf_attachment; sg_table]
4,drivers/rpmsg/virtio_rpmsg_bus.c:rpmsg_sg_init,functions_by_file,AIARelevantFunction,60,"**AIARelevantFunction (60%)**: The function `rpmsg_sg_init` initializes a scatter-gather list, which is relevant for memory management in the context of DMA operations. It uses `sg_set_page` and `s...",None,dma_address
5,drivers/rpmsg/virtio_rpmsg_bus.c:virtio_rpmsg_create_ept,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `virtio_rpmsg_create_ept` does not involve any operations related to shared memory management or direct interaction with an AI Accelerator (AIA). It...,None,None
6,drivers/rpmsg/virtio_rpmsg_bus.c:virtio_rpmsg_sendto,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `virtio_rpmsg_sendto` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily deals with sending message...,None,None
7,drivers/rpmsg/virtio_rpmsg_bus.c:rpmsg_send_offchannel_raw,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `rpmsg_send_offchannel_raw` does not directly involve sharing memory with an AI Accelerator (AIA). It primarily handles message sending between devic...,[struct rpmsg_hdr],[src; dst; reserved; len]
8,drivers/rpmsg/virtio_rpmsg_bus.c:get_a_tx_buf,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `get_a_tx_buf` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily deals with managing transmission...,None,None
9,drivers/rpmsg/virtio_rpmsg_bus.c:rpmsg_recv_done,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `rpmsg_recv_done` does not interact with an AI Accelerator (AIA) or shared memory (SMem) management. It primarily handles message reception through a...,[struct rpmsg_hdr],[None identified]
10,drivers/rpmsg/virtio_rpmsg_bus.c:rpmsg_recv_single,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction (0%)**: The function `rpmsg_recv_single` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily handles the reception of messages...,[struct rpmsg_hdr],[src; dst; reserved]
