Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,gasket_perform_mapping,functions_by_file,AIARelevantFunction,90,"**AIARelevantFunction Score (90%)**: The function `gasket_perform_mapping` is heavily involved in mapping memory for DMA operations, which is critical for AI Accelerator integration. It uses `get_u...",[gasket_page_table_entry; sg_page_iter],[dma_addr; page; host_addr; coherent_pages; user_virt; paddr]
2,gasket_map_extended_pages,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gasket_map_extended_pages` is involved in mapping extended pages for a device, which is relevant for AI Accelerator integration. It performs operat...",[gasket_page_table_entry; sg_page_iter],[dma_addr; dma_address]
3,gasket_alloc_extended_subtable,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gasket_alloc_extended_subtable` is involved in memory management that is relevant for DMA operations, particularly through the use of `dma_map_page...",[gasket_page_table_entry],[dma_addr; page]
4,gasket_alloc_coherent_memory,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gasket_alloc_coherent_memory` is involved in allocating coherent memory for a device, which is relevant for AI Accelerator integration as it manage...",[gasket_coherent_page_entry; gasket_driver_desc],[phys_base; virt_base; paddr; user_virt; kernel_virt]
5,gasket_map_simple_pages,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction (70%)**: The function `gasket_map_simple_pages` is involved in mapping pages for a device, which is relevant for AI Accelerator integration. It interacts with the `gasket_page...",None,None
6,gasket_config_coherent_allocator,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction (70%)**: The function `gasket_config_coherent_allocator` is involved in memory allocation and deallocation for coherent memory, which is relevant for AI Accelerator integratio...",[gasket_coherent_alloc_config_ioctl],[dma_address; page_table_index]
7,gasket_page_table_map,functions_by_file,AIARelevantFunction,60,"**AIARelevantFunction Score (60%)**: The function `gasket_page_table_map` is involved in mapping host addresses to device addresses, which is relevant for memory management in the context of an AI ...",None,None
8,gasket_handle_ioctl,ioctl_operations,AIARelevantFunction,60,"**AIARelevantFunction (60%)**: The function `gasket_handle_ioctl` interacts with various IOCTL commands that may involve memory management and DMA operations, particularly in the context of mapping...",[gasket_dev],[device addresses; DMA addresses; file descriptors]
1,apex_set_performance_expectation,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `apex_set_performance_expectation` does not directly involve sharing memory with an AI Accelerator (AIA). It primarily sets performance expectations ...,[struct apex_performance_expectation_ioctl],[None identified]
2,gasket_partition_page_table,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `gasket_partition_page_table` does not directly involve sharing memory with an AI Accelerator (AIA). It primarily handles partitioning a page table b...,[gasket_page_table_ioctl],[host_address; device_address]
3,gasket_unmap_buffers,user_copy_operations,Relevant_KD_Entry_Point,100,"**AIARelevantFunction Score (0)**: The function `gasket_unmap_buffers` does not directly interact with an AI Accelerator (AIA) or manage shared memory for an AIA. Instead, it focuses on unmapping b...",[gasket_page_table_ioctl],[host_address; device_address]
4,apex_ioctl,ioctl_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `apex_ioctl` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). There are no calls to functions like `g...,None,None
5,gasket_ioctl_check_permissions,ioctl_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `gasket_ioctl_check_permissions` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily checks...,None,None
6,gasket_config_coherent_allocator,user_copy_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction (70%)**: The function `gasket_config_coherent_allocator` is involved in memory allocation and deallocation for coherent memory, which is relevant for AI Accelerator integratio...",[gasket_coherent_alloc_config_ioctl],[dma_address; page_table_index]
7,gasket_handle_ioctl,ioctl_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction (60%)**: The function `gasket_handle_ioctl` interacts with various IOCTL commands that may involve memory management and DMA operations, particularly in the context of mapping...",[gasket_dev],[device addresses; DMA addresses; file descriptors]
8,gasket_mmap,functions_by_file,Relevant_KD_Entry_Point,80,"**AIARelevantFunction Score (0%)**: The function `gasket_mmap` does not directly interact with an AI Accelerator (AIA) or manage shared memory for an AIA. Instead, it focuses on mapping memory regi...",[vm_area_struct; gasket_bar_desc; gasket_mappable_region],[base address; permissions; start address; length_bytes]
9,gasket_ioctl,functions_by_file,Relevant_KD_Entry_Point,80,**AIARelevantFunction Score (0)**: The function `gasket_ioctl` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). There are no calls to functions like ...,None,None
10,gasket_perform_mapping,dma_operations,Relevant_KD_Entry_Point,80,"**AIARelevantFunction (90%)**: The function `gasket_perform_mapping` is heavily involved in preparing memory for DMA operations, which is critical for AI Accelerator integration. It utilizes `dma_m...",[gasket_page_table_entry],[dma_addr; page; flags]
11,gasket_map_buffers_flags,user_copy_operations,Relevant_KD_Entry_Point,80,**AIARelevantFunction Score (0)**: The function `gasket_map_buffers_flags` does not directly involve sharing memory with an AI Accelerator (AIA). It primarily handles the mapping of buffers and fla...,[gasket_page_table_ioctl_flags],[base.host_address; base.device_address]
12,gasket_set_event_fd,user_copy_operations,Relevant_KD_Entry_Point,80,**AIARelevantFunction Score (0)**: The function `gasket_set_event_fd` does not directly involve sharing memory with an AI Accelerator (AIA). It primarily sets up an event file descriptor for interr...,[struct gasket_interrupt_eventfd],[interrupt; event_fd]
13,gasket_is_supported_ioctl,ioctl_operations,Relevant_KD_Entry_Point,80,**AIARelevantFunction (0%)**: The function `gasket_is_supported_ioctl` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily checks if a given IOCTL c...,None,None
1,apex_set_performance_expectation,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `apex_set_performance_expectation` does not directly involve sharing memory with an AI Accelerator (AIA). It primarily sets performance expectations ...,[struct apex_performance_expectation_ioctl],[None identified]
2,gasket_partition_page_table,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `gasket_partition_page_table` does not directly involve sharing memory with an AI Accelerator (AIA). It primarily handles partitioning a page table b...,[gasket_page_table_ioctl],[host_address; device_address]
3,gasket_unmap_buffers,user_copy_operations,Message_Structure_Handling,100,"**AIARelevantFunction Score (0)**: The function `gasket_unmap_buffers` does not directly interact with an AI Accelerator (AIA) or manage shared memory for an AIA. Instead, it focuses on unmapping b...",[gasket_page_table_ioctl],[host_address; device_address]
4,gasket_map_buffers_flags,user_copy_operations,Message_Structure_Handling,90,**AIARelevantFunction Score (0)**: The function `gasket_map_buffers_flags` does not directly involve sharing memory with an AI Accelerator (AIA). It primarily handles the mapping of buffers and fla...,[gasket_page_table_ioctl_flags],[base.host_address; base.device_address]
5,gasket_set_event_fd,user_copy_operations,Message_Structure_Handling,90,**AIARelevantFunction Score (0)**: The function `gasket_set_event_fd` does not directly involve sharing memory with an AI Accelerator (AIA). It primarily sets up an event file descriptor for interr...,[struct gasket_interrupt_eventfd],[interrupt; event_fd]
6,gasket_perform_mapping,dma_operations,Message_Structure_Handling,85,"**AIARelevantFunction (90%)**: The function `gasket_perform_mapping` is heavily involved in preparing memory for DMA operations, which is critical for AI Accelerator integration. It utilizes `dma_m...",[gasket_page_table_entry],[dma_addr; page; flags]
7,gasket_mm_get_mapping_addrs,functions_by_file,Message_Structure_Handling,80,**AIARelevantFunction Score (0)**: The function `gasket_mm_get_mapping_addrs` does not directly involve sharing memory with an AI Accelerator (AIA). It primarily focuses on determining the mapping ...,[gasket_mappable_region],[start; length_bytes]
8,gasket_config_coherent_allocator,user_copy_operations,Message_Structure_Handling,80,"**AIARelevantFunction (70%)**: The function `gasket_config_coherent_allocator` is involved in memory allocation and deallocation for coherent memory, which is relevant for AI Accelerator integratio...",[gasket_coherent_alloc_config_ioctl],[dma_address; page_table_index]
9,gasket_handle_ioctl,ioctl_operations,Message_Structure_Handling,80,"**AIARelevantFunction (60%)**: The function `gasket_handle_ioctl` interacts with various IOCTL commands that may involve memory management and DMA operations, particularly in the context of mapping...",[gasket_dev],[device addresses; DMA addresses; file descriptors]
10,gasket_mmap,functions_by_file,Message_Structure_Handling,70,"**AIARelevantFunction Score (0%)**: The function `gasket_mmap` does not directly interact with an AI Accelerator (AIA) or manage shared memory for an AIA. Instead, it focuses on mapping memory regi...",[vm_area_struct; gasket_bar_desc; gasket_mappable_region],[base address; permissions; start address; length_bytes]
11,gasket_map_extended_pages,functions_by_file,Message_Structure_Handling,70,"**AIARelevantFunction Score (80)**: The function `gasket_map_extended_pages` is involved in mapping extended pages for a device, which is relevant for AI Accelerator integration. It performs operat...",[gasket_page_table_entry; sg_page_iter],[dma_addr; dma_address]
12,gasket_alloc_extended_subtable,functions_by_file,Message_Structure_Handling,70,"**AIARelevantFunction Score (80)**: The function `gasket_alloc_extended_subtable` is involved in memory management that is relevant for DMA operations, particularly through the use of `dma_map_page...",[gasket_page_table_entry],[dma_addr; page]
13,gasket_alloc_coherent_memory,functions_by_file,Message_Structure_Handling,60,"**AIARelevantFunction Score (70)**: The function `gasket_alloc_coherent_memory` is involved in allocating coherent memory for a device, which is relevant for AI Accelerator integration as it manage...",[gasket_coherent_page_entry; gasket_coherent_buffer],[paddr; user_virt; kernel_virt; coherent_buffer.phys_base; coherent_buffer.virt_base]
14,gasket_ioctl,ioctl_operations,Message_Structure_Handling,60,**AIARelevantFunction Score (0)**: The function `gasket_ioctl` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). There are no calls to functions like ...,None,None
