Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,dma_buf_phys_convert,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `dma_buf_phys_convert` is involved in managing DMA buffers, which is critical for sharing memory with AI Accelerators (AIA). It uses `dma_buf_get`, ...",[struct dma_buf_phys_file; struct dma_buf; struct dma_buf_attachment; struct sg_table],[dma_buf; dma_buf_attachment; sg_table; dma_addr]
2,rpmsg_send_offchannel_raw,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `rpmsg_send_offchannel_raw` is involved in sending messages between processors, which can be relevant for AI Accelerator integration, especially in ...",[struct rpmsg_hdr],[src; dst; reserved; len; flags; dma_address]
3,dma_heap_map_dma_buf,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `dma_heap_map_dma_buf` is involved in mapping a DMA buffer for use with a device, which is relevant for AI Accelerator integration. It utilizes `dma...",None,paddr; dma_address
1,dma_buf_phys_ioctl,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `dma_buf_phys_ioctl` does not directly interact with an AI Accelerator (AIA) or perform operations that are typically associated with AIA memory mana...,[struct dma_buf_phys_data],[fd; phys]
2,dma_heap_ioctl_allocate,ioctl_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `dma_heap_ioctl_allocate` does not directly interact with an AI Accelerator (AIA) or shared memory (SMem) mechanisms. It primarily focuses on allocat...,[struct dma_heap_allocation_data],[fd]
3,rpmsg_eptdev_ioctl,ioctl_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `rpmsg_eptdev_ioctl` does not involve any operations related to shared memory management or interactions with an AI Accelerator. It primarily checks ...,None,None
4,dma_buf_phys_convert,dma_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (80)**: The function `dma_buf_phys_convert` is involved in converting a DMA buffer file descriptor to a physical address. It utilizes several key functions such as `dma_...,[struct dma_buf_phys_file; struct dma_buf; struct dma_buf_attachment; struct sg_table],[dma_addr; dma_buf; dma_buf_attachment; sg_table]
5,rpmsg_ctrldev_ioctl,user_copy_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (0)**: The function `rpmsg_ctrldev_ioctl` does not directly interact with an AI Accelerator (AIA) or shared memory (SMem) management as defined in the criteria. It prima...,[rpmsg_endpoint_info; rpmsg_channel_info],[src; dst]
6,dma_heap_ioctl,user_copy_operations,Relevant_KD_Entry_Point,80,**AIARelevantFunction Score (0)**: The function `dma_heap_ioctl` does not directly interact with an AI Accelerator (AIA) or shared memory (SMem) mechanisms that are typically associated with AIA op...,None,None
1,dma_buf_phys_ioctl,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `dma_buf_phys_ioctl` does not directly interact with an AI Accelerator (AIA) or perform operations that are typically associated with AIA memory mana...,[struct dma_buf_phys_data],[fd; phys]
2,dma_heap_ioctl_allocate,ioctl_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `dma_heap_ioctl_allocate` does not directly interact with an AI Accelerator (AIA) or shared memory (SMem) mechanisms. It primarily focuses on allocat...,[struct dma_heap_allocation_data],[fd]
3,rpmsg_ctrldev_ioctl,ioctl_operations,Message_Structure_Handling,90,**AIARelevantFunction Score (0)**: The function `rpmsg_ctrldev_ioctl` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that is typical for AIA integra...,[rpmsg_endpoint_info; rpmsg_channel_info],[src; dst]
4,dma_buf_phys_convert,dma_operations,Message_Structure_Handling,85,**AIARelevantFunction Score (80)**: The function `dma_buf_phys_convert` is involved in converting a DMA buffer file descriptor to a physical address. It utilizes several key functions such as `dma_...,[struct dma_buf_phys_file; struct dma_buf; struct dma_buf_attachment; struct sg_table],[dma_addr; dma_buf; dma_buf_attachment; sg_table]
5,rpmsg_send_offchannel_raw,functions_by_file,Message_Structure_Handling,80,"**AIARelevantFunction Score (70)**: The function `rpmsg_send_offchannel_raw` is involved in sending messages between processors, which can be relevant for AI Accelerator integration, especially in ...",[struct rpmsg_hdr],[src; dst; reserved; len; flags; dma_address]
6,rpmsg_recv_done,functions_by_file,Message_Structure_Handling,80,**AIARelevantFunction Score (0)**: The function `rpmsg_recv_done` does not interact with an AI Accelerator (AIA) or shared memory management relevant to AIA operations. It primarily handles message...,[struct rpmsg_hdr],[src; dst; reserved; len]
7,rpmsg_recv_single,functions_by_file,Message_Structure_Handling,80,**AIARelevantFunction Score (0)**: The function `rpmsg_recv_single` does not interact with an AI Accelerator (AIA) or shared memory (SMem) mechanisms. It primarily handles message reception and pro...,[struct rpmsg_hdr],[src; dst; reserved]
8,dma_heap_ioctl,user_copy_operations,Message_Structure_Handling,70,**AIARelevantFunction Score (0)**: The function `dma_heap_ioctl` does not directly interact with an AI Accelerator (AIA) or shared memory (SMem) mechanisms that are typically associated with AIA op...,None,None
9,dma_heap_map_dma_buf,functions_by_file,Message_Structure_Handling,60,"**AIARelevantFunction Score (70)**: The function `dma_heap_map_dma_buf` is involved in mapping a DMA buffer for use with a device, which is relevant for AI Accelerator integration. It utilizes `dma...",None,paddr; dma_address
