Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,mc_alloc_internal,dma_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `mc_alloc_internal` is involved in memory allocation, which is crucial for AI Accelerator operations. It allocates coherent DMA memory using `dma_al...",[struct mem_chunk],[mc->pa (physical address); mc->va (device virtual address); mc->nc_id (neuron channel ID); mc->dram_channel; mc->dram_region]
1,ncdev_crwl_nc_range_mark,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_crwl_nc_range_mark` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) for an AIA. It primarily handles IO...,[struct neuron_ioctl_crwl_nc_map_ext; struct neuron_ioctl_crwl_nc_map],[nc_count; start_nc_index; end_nc_index; max_nc_available; bitmap]
2,ncdev_mem_get_info_deprecated,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_mem_get_info_deprecated` does not directly interact with an AI Accelerator (AIA) or perform operations that would typically be associated with...,[struct neuron_ioctl_mem_get_info],[mem_handle; pa; mmap_offset]
3,ncdev_acquire_neuron_ds,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_acquire_neuron_ds` does not directly interact with an AI Accelerator (AIA) or perform operations that would typically be associated with memor...,[struct neuron_ioctl_neuron_ds_info],[pid; mmap_offset; size]
4,ncdev_cinit_set_state,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction (0%)**: The function `ncdev_cinit_set_state` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily handles user commands related...,[struct neuron_ioctl_cinit_set],[nc_id]
5,ncdev_mem_buf_copy,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_mem_buf_copy` does not directly involve sharing memory with an AI Accelerator (AIA). It primarily handles memory buffer copying operations bet...,[struct neuron_ioctl_mem_buf_copy; struct neuron_ioctl_mem_buf_copy64],[mem_handle; buffer; copy_to_mem_handle; offset; size]
6,ncdev_semaphore_ioctl,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_semaphore_ioctl` does not interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that is relevant to AIA operations. It...,[struct neuron_ioctl_semaphore],[nc_id]
7,ncdev_misc_ioctl,ioctl_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_misc_ioctl` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). There are no calls to functions l...,None,None
8,ncdev_ioctl,ioctl_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (0)**: The function `ncdev_ioctl` does not directly involve sharing shared memory with an AI Accelerator (AIA). It primarily serves as an ioctl handler for various comma...,[None identified],[None identified]
9,ncdev_mem_alloc,user_copy_operations,Relevant_KD_Entry_Point,80,"**AIARelevantFunction Score (0)**: The function `ncdev_mem_alloc` does not directly interact with an AI Accelerator (AIA) or perform operations that are typical for AIA memory management, such as p...",[struct neuron_ioctl_mem_alloc],[mem_handle; size; dram_channel; dram_region; nc_id]
10,ncdev_mem_get_pa_deprecated,user_copy_operations,Relevant_KD_Entry_Point,80,**AIARelevantFunction (0%)**: The function `ncdev_mem_get_pa_deprecated` does not directly involve sharing memory with an AI Accelerator (AIA). It primarily retrieves a physical address associated ...,[struct neuron_ioctl_mem_get_pa],[mem_handle; pa]
11,ncdev_nc_model_started_count,user_copy_operations,Relevant_KD_Entry_Point,80,"**AIARelevantFunction Score (0)**: The function `ncdev_nc_model_started_count` does not interact with an AI Accelerator (AIA) or perform any operations related to shared memory management, DMA, or ...",[struct neuron_ioctl_nc_model_started_count],[nc_id; started_count]
1,ncdev_device_basic_info,user_copy_operations,Message_Structure_Handling,100,"**AIARelevantFunction Score (0)**: The function `ncdev_device_basic_info` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It does not pin user pages, iterate...",[struct neuron_ioctl_device_basic_info],[None identified]
2,ncdev_compatible_version,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `ncdev_compatible_version` does not involve any operations that directly relate to sharing memory with an AI Accelerator (AIA). It does not pin user ...,[struct neuron_ioctl_compatible_version],[None identified]
