Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,ncdev_mem_alloc,user_copy_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `ncdev_mem_alloc` is involved in memory allocation for a neuron device, which is likely to be relevant for an AI Accelerator (AIA) context. It uses ...",[struct neuron_ioctl_mem_alloc],[mem_handle; size; dram_channel; dram_region; nc_id]
2,ncdev_mem_get_pa_deprecated,user_copy_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `ncdev_mem_get_pa_deprecated` is involved in obtaining a physical address (PA) for a memory chunk associated with an AI Accelerator (AIA). It uses t...,[struct neuron_ioctl_mem_get_pa; struct mem_chunk],[mem_handle; pa; mc_handle; pa (from mem_chunk)]
3,mc_alloc_internal,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `mc_alloc_internal` is involved in memory allocation that could be relevant for an AI Accelerator (AIA) context, particularly through the use of `dm...",[struct mem_chunk],[mc->pa (physical address); mc->va (device virtual address); mc->mc_handle (memory chunk handle); mc->pid (process ID)]
4,ncdev_mem_buf_copy,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `ncdev_mem_buf_copy` is involved in copying memory buffers, which is relevant for AI Accelerator integration. It handles memory management and user...",[struct neuron_ioctl_mem_buf_copy; struct neuron_ioctl_mem_buf_copy64],[mem_handle; buffer; size; offset; copy_to_mem_handle; mc->va; mc->pa]
5,ncdev_ioctl,ioctl_operations,AIARelevantFunction,70,**AIARelevantFunction Score (70)**: The function `ncdev_ioctl` handles various IOCTL commands that are likely related to memory management and operations involving the AI Accelerator (AIA). It chec...,[neuron_attached_process; neuron_reset_request],[pid; memory_used; nc_map; bar0_pa; bar0_size; bar2_pa; bar2_size; bar4_pa; bar4_size]
6,ncdev_mem_get_info_deprecated,user_copy_operations,AIARelevantFunction,60,"**AIARelevantFunction (60%)**: The function `ncdev_mem_get_info_deprecated` interacts with memory management, specifically retrieving information about a memory chunk associated with an AI Accelera...",[neuron_ioctl_mem_get_info],[mem_handle; pa; mmap_offset]
7,ncdev_bar_read,user_copy_operations,AIARelevantFunction,60,"**AIARelevantFunction Score (60)**: The function `ncdev_bar_read` interacts with memory management and data transfer, which are relevant to AI Accelerator integration. It allocates memory for data ...",[mem_chunk; neuron_device],[pa (physical address); va (virtual address); nc_id (neuron chunk ID)]
1,ncdev_crwl_nc_range_mark,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_crwl_nc_range_mark` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that would typically be as...,[struct neuron_ioctl_crwl_nc_map_ext],[nc_count; start_nc_index; end_nc_index; max_nc_available; bitmap]
2,ncdev_acquire_neuron_ds,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_acquire_neuron_ds` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) for an AIA. It primarily focuses on ...,[struct neuron_ioctl_neuron_ds_info],[pid; mmap_offset; size]
3,ncdev_cinit_set_state,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0%)**: The function `ncdev_cinit_set_state` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It does not perform actions such as ...,[struct neuron_ioctl_cinit_set],[nc_id]
4,ncdev_semaphore_ioctl,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_semaphore_ioctl` does not directly interact with an AI Accelerator (AIA) or shared memory management relevant to AIA operations. It primarily ...,[struct neuron_ioctl_semaphore],[nc_id; semaphore_index; value]
5,ncdev_nc_model_started_count,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_nc_model_started_count` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily handles user spac...,[struct neuron_ioctl_nc_model_started_count],[nc_id; started_count]
6,ncdev_mem_alloc,user_copy_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction Score (80)**: The function `ncdev_mem_alloc` is involved in memory allocation for a neuron device, which is likely to be relevant for an AI Accelerator (AIA) context. It uses ...",[struct neuron_ioctl_mem_alloc],[mem_handle; size; dram_channel; dram_region; nc_id]
7,ncdev_mem_get_pa_deprecated,user_copy_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (80)**: The function `ncdev_mem_get_pa_deprecated` is involved in obtaining a physical address (PA) for a memory chunk associated with an AI Accelerator (AIA). It uses t...,[struct neuron_ioctl_mem_get_pa; struct mem_chunk],[mem_handle; pa; mc_handle; pa (from mem_chunk)]
8,ncdev_mem_buf_copy,user_copy_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction Score (70%)**: The function `ncdev_mem_buf_copy` is involved in copying memory buffers, which is relevant for AI Accelerator integration. It handles memory management and user...",[struct neuron_ioctl_mem_buf_copy; struct neuron_ioctl_mem_buf_copy64],[mem_handle; buffer; size; offset; copy_to_mem_handle; mc->va; mc->pa]
9,ncdev_ioctl,ioctl_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (70)**: The function `ncdev_ioctl` handles various IOCTL commands that are likely related to memory management and operations involving the AI Accelerator (AIA). It chec...,[neuron_attached_process; neuron_reset_request],[pid; memory_used; nc_map; bar0_pa; bar0_size; bar2_pa; bar2_size; bar4_pa; bar4_size]
10,ncdev_misc_ioctl,ioctl_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (0)**: The function `ncdev_misc_ioctl` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily serves as an IOCTL h...,None,None
11,ncdev_device_info,user_copy_operations,Relevant_KD_Entry_Point,80,**AIARelevantFunction Score (0)**: The function `ncdev_device_info` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that is typical for AIA integrati...,[struct neuron_ioctl_device_info],[connected_devices[]; bar_address[]; bar_size[]]
12,ncdev_mem_get_info_deprecated,user_copy_operations,Relevant_KD_Entry_Point,80,"**AIARelevantFunction (60%)**: The function `ncdev_mem_get_info_deprecated` interacts with memory management, specifically retrieving information about a memory chunk associated with an AI Accelera...",[neuron_ioctl_mem_get_info],[mem_handle; pa; mmap_offset]
13,ncdev_bar_read,user_copy_operations,Relevant_KD_Entry_Point,80,"**AIARelevantFunction Score (60)**: The function `ncdev_bar_read` interacts with memory management and data transfer, which are relevant to AI Accelerator integration. It allocates memory for data ...",[mem_chunk; neuron_device],[pa (physical address); va (virtual address); nc_id (neuron chunk ID)]
1,ncdev_device_basic_info,user_copy_operations,Message_Structure_Handling,100,"**AIARelevantFunction Score (0)**: The function `ncdev_device_basic_info` does not involve any operations related to AI Accelerator integration, such as pinning user pages, managing DMA buffers, or...",[struct neuron_ioctl_device_basic_info],[None identified]
2,ncdev_compatible_version,user_copy_operations,Message_Structure_Handling,100,"**AIARelevantFunction Score (0)**: The function `ncdev_compatible_version` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It does not pin user pages, iterat...",[struct neuron_ioctl_compatible_version],[None identified]
3,ncdev_crwl_nc_range_mark,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `ncdev_crwl_nc_range_mark` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that would typically be as...,[struct neuron_ioctl_crwl_nc_map_ext],[nc_count; start_nc_index; end_nc_index; max_nc_available; bitmap]
4,ncdev_device_bdf,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `ncdev_device_bdf` does not interact with an AI Accelerator (AIA) or shared memory management relevant to AIA operations. It primarily retrieves PCI ...,[struct neuron_ioctl_device_bdf],[bus_number; slot; func]
5,ncdev_acquire_neuron_ds,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `ncdev_acquire_neuron_ds` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) for an AIA. It primarily focuses on ...,[struct neuron_ioctl_neuron_ds_info],[pid; mmap_offset; size]
6,ncdev_cinit_set_state,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0%)**: The function `ncdev_cinit_set_state` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It does not perform actions such as ...,[struct neuron_ioctl_cinit_set],[nc_id]
7,ncdev_semaphore_ioctl,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `ncdev_semaphore_ioctl` does not directly interact with an AI Accelerator (AIA) or shared memory management relevant to AIA operations. It primarily ...,[struct neuron_ioctl_semaphore],[nc_id; semaphore_index; value]
8,ncdev_nc_model_started_count,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `ncdev_nc_model_started_count` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily handles user spac...,[struct neuron_ioctl_nc_model_started_count],[nc_id; started_count]
9,ncdev_device_info,user_copy_operations,Message_Structure_Handling,90,**AIARelevantFunction Score (0)**: The function `ncdev_device_info` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that is typical for AIA integrati...,[struct neuron_ioctl_device_info],[connected_devices[]; bar_address[]; bar_size[]]
10,ncdev_mem_get_info_deprecated,user_copy_operations,Message_Structure_Handling,90,"**AIARelevantFunction (60%)**: The function `ncdev_mem_get_info_deprecated` interacts with memory management, specifically retrieving information about a memory chunk associated with an AI Accelera...",[neuron_ioctl_mem_get_info],[mem_handle; pa; mmap_offset]
11,ncdev_mem_alloc,user_copy_operations,Message_Structure_Handling,85,"**AIARelevantFunction Score (80)**: The function `ncdev_mem_alloc` is involved in memory allocation for a neuron device, which is likely to be relevant for an AI Accelerator (AIA) context. It uses ...",[struct neuron_ioctl_mem_alloc],[mem_handle; size; dram_channel; dram_region; nc_id]
12,ncdev_mem_get_pa_deprecated,user_copy_operations,Message_Structure_Handling,85,**AIARelevantFunction Score (80)**: The function `ncdev_mem_get_pa_deprecated` is involved in obtaining a physical address (PA) for a memory chunk associated with an AI Accelerator (AIA). It uses t...,[struct neuron_ioctl_mem_get_pa; struct mem_chunk],[mem_handle; pa; mc_handle; pa (from mem_chunk)]
13,mc_alloc_internal,functions_by_file,Message_Structure_Handling,80,"**AIARelevantFunction Score (70)**: The function `mc_alloc_internal` is involved in memory allocation that could be relevant for an AI Accelerator (AIA) context, particularly through the use of `dm...",[struct mem_chunk],[mc->pa (physical address); mc->va (device virtual address); mc->mc_handle (memory chunk handle); mc->pid (process ID)]
14,neuron_copy_from_user,user_copy_operations,Message_Structure_Handling,80,**AIARelevantFunction Score (0)**: The function `neuron_copy_from_user` does not directly interact with any AI Accelerator (AIA) relevant functions. It primarily focuses on copying data from user s...,None,None
15,ncdev_mem_buf_copy,user_copy_operations,Message_Structure_Handling,80,"**AIARelevantFunction Score (70%)**: The function `ncdev_mem_buf_copy` is involved in copying memory buffers, which is relevant for AI Accelerator integration. It handles memory management and user...",[struct neuron_ioctl_mem_buf_copy; struct neuron_ioctl_mem_buf_copy64],[mem_handle; buffer; size; offset; copy_to_mem_handle; mc->va; mc->pa]
16,ncdev_ioctl,ioctl_operations,Message_Structure_Handling,80,**AIARelevantFunction Score (70)**: The function `ncdev_ioctl` handles various IOCTL commands that are likely related to memory management and operations involving the AI Accelerator (AIA). It chec...,[neuron_attached_process; neuron_reset_request],[pid; memory_used; nc_map; bar0_pa; bar0_size; bar2_pa; bar2_size; bar4_pa; bar4_size]
17,ncdev_bar_read,user_copy_operations,Message_Structure_Handling,70,"**AIARelevantFunction Score (60)**: The function `ncdev_bar_read` interacts with memory management and data transfer, which are relevant to AI Accelerator integration. It allocates memory for data ...",[mem_chunk; neuron_device],[pa (physical address); va (virtual address); nc_id (neuron chunk ID)]
