Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,gasket_perform_mapping,functions_by_file,AIARelevantFunction,90,"**AIARelevantFunction Score (90%)**: The function `gasket_perform_mapping` is heavily involved in mapping memory for DMA operations, which is critical for AI Accelerator integration. It uses `dma_m...",[gasket_page_table_entry],[dma_addr; page; flags]
2,gasket_mmap_coherent,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gasket_mmap_coherent` is involved in memory mapping a coherent buffer, which is relevant for sharing memory with an AI Accelerator (AIA). It uses `...",None,coherent_buffer.phys_base; coherent_buffer.virt_base
3,gasket_alloc_coherent_memory,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gasket_alloc_coherent_memory` is involved in memory allocation that is relevant for AI Accelerator integration. It uses `dma_alloc_coherent`, which...",[gasket_coherent_page_entry; gasket_driver_desc],[phys_base; virt_base; paddr; user_virt; kernel_virt]
4,gasket_page_table_map,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gasket_page_table_map` is involved in mapping host addresses to device addresses, which is a critical operation for enabling an AI Accelerator (AIA...",None,None
5,gasket_map_simple_pages,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gasket_map_simple_pages` is involved in mapping pages for a device, which is a critical operation for enabling an AI Accelerator (AIA) to access sh...",[struct gasket_page_table; struct sg_page_iter; struct scatterlist],[dma_address; host_addr; dev_addr]
6,gasket_map_extended_pages,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gasket_map_extended_pages` is involved in mapping pages for a device, which is critical for enabling an AI Accelerator (AIA) to access shared memor...",[gasket_page_table_entry; sg_page_iter],[dma_addr; host_addr; dev_addr]
7,gasket_alloc_extended_subtable,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gasket_alloc_extended_subtable` is involved in memory management that is crucial for DMA operations, which are typically relevant for AI Accelerato...",[struct gasket_page_table_entry],[dma_addr; page]
8,gasket_config_coherent_allocator,user_copy_operations,AIARelevantFunction,80,"**AIARelevantFunction (80%)**: The function `gasket_config_coherent_allocator` is involved in memory allocation and deallocation for coherent memory, which is relevant for AI Accelerator integratio...",[gasket_coherent_alloc_config_ioctl],[dma_address; page_table_index]
9,gasket_perform_unmapping,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `gasket_perform_unmapping` is involved in managing DMA mappings, specifically unmapping pages from a device's address translation table. It utilizes...",[gasket_page_table_entry],[dma_addr; page]
10,gasket_page_table_detach_dmabuf_nolock,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `gasket_page_table_detach_dmabuf_nolock` is involved in managing DMA buffers, which is relevant for AI Accelerator integration. It utilizes the `dma...",[gasket_dmabuf_mapping],[dma_buf; dma_buf_attachment; sg_table; dma_addr_t]
11,gasket_free_coherent_memory_all,dma_operations,AIARelevantFunction,70,"**AIARelevantFunction (70%)**: The function `gasket_free_coherent_memory_all` is involved in managing coherent memory, which is relevant for AI Accelerator integration. It uses `dma_free_coherent`,...",None,None
12,gasket_unmap_buffers,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `gasket_unmap_buffers` interacts with shared memory by unmapping device addresses from a page table, which is relevant for AI Accelerator integratio...",[gasket_page_table_ioctl],[host_address; device_address]
13,gasket_handle_ioctl,ioctl_operations,AIARelevantFunction,70,**AIARelevantFunction Score (70%)**: The function `gasket_handle_ioctl` interacts with various IOCTL commands that could potentially involve shared memory operations relevant to an AI Accelerator (...,[gasket_dev],[device addresses; DMA addresses; file descriptors; page table identifiers]
14,gasket_mmap,functions_by_file,AIARelevantFunction,60,"**AIARelevantFunction Score (60)**: The function `gasket_mmap` is responsible for mapping memory regions for a device, which is relevant for AI Accelerator integration. It checks for coherent regio...",[vm_area_struct; gasket_bar_desc; gasket_mappable_region],[base address; permissions; start address; length_bytes]
1,apex_set_performance_expectation,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `apex_set_performance_expectation` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily sets performa...,[struct apex_performance_expectation_ioctl],[None identified]
2,gasket_partition_page_table,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `gasket_partition_page_table` does not directly interact with an AI Accelerator (AIA) or perform operations that are typical for AIA memory managemen...,[gasket_page_table_ioctl],[host_address; device_address]
3,gasket_is_supported_ioctl,ioctl_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `gasket_is_supported_ioctl` does not involve any operations related to shared memory management or direct interaction with an AI Accelerator (AIA). I...,None,None
4,apex_ioctl,ioctl_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0%)**: The function `apex_ioctl` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily serves as an entry point ...,None,None
5,gasket_config_coherent_allocator,user_copy_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction (80%)**: The function `gasket_config_coherent_allocator` is involved in memory allocation and deallocation for coherent memory, which is relevant for AI Accelerator integratio...",[gasket_coherent_alloc_config_ioctl],[dma_address; page_table_index]
6,gasket_unmap_buffers,user_copy_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction Score (70)**: The function `gasket_unmap_buffers` interacts with shared memory by unmapping device addresses from a page table, which is relevant for AI Accelerator integratio...",[gasket_page_table_ioctl],[host_address; device_address]
7,gasket_handle_ioctl,ioctl_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (70%)**: The function `gasket_handle_ioctl` interacts with various IOCTL commands that could potentially involve shared memory operations relevant to an AI Accelerator (...,[gasket_dev],[device addresses; DMA addresses; file descriptors; page table identifiers]
8,gasket_ioctl_check_permissions,ioctl_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (0)**: The function `gasket_ioctl_check_permissions` does not directly interact with shared memory or AI Accelerator functionalities. It primarily checks permissions for...,None,None
9,gasket_mmap,functions_by_file,Relevant_KD_Entry_Point,80,"**AIARelevantFunction Score (60)**: The function `gasket_mmap` is responsible for mapping memory regions for a device, which is relevant for AI Accelerator integration. It checks for coherent regio...",[vm_area_struct; gasket_bar_desc; gasket_mappable_region],[base address; permissions; start address; length_bytes]
10,gasket_ioctl,functions_by_file,Relevant_KD_Entry_Point,80,**AIARelevantFunction Score (0)**: The `gasket_ioctl` function does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). There are no calls to functions like ...,None,None
11,gasket_perform_mapping,functions_by_file,Relevant_KD_Entry_Point,80,"**AIARelevantFunction Score (90%)**: The function `gasket_perform_mapping` is heavily involved in mapping memory for DMA operations, which is critical for AI Accelerator integration. It uses `dma_m...",[gasket_page_table_entry],[dma_addr; page; flags]
12,gasket_map_buffers_flags,user_copy_operations,Relevant_KD_Entry_Point,80,**AIARelevantFunction Score (0)**: The function `gasket_map_buffers_flags` does not directly interact with an AI Accelerator (AIA) or perform operations that are typically associated with AIA memor...,[gasket_page_table_ioctl_flags],[base.host_address; base.device_address]
13,gasket_set_event_fd,user_copy_operations,Relevant_KD_Entry_Point,80,**AIARelevantFunction Score (0)**: The function `gasket_set_event_fd` does not interact with an AI Accelerator (AIA) or shared memory management relevant to AIA operations. It primarily deals with ...,[gasket_interrupt_eventfd],[interrupt; event_fd]
14,gasket_map_simple_pages,functions_by_file,Relevant_KD_Entry_Point,60,"**AIARelevantFunction Score (80)**: The function `gasket_map_simple_pages` is involved in mapping pages for a device, which is a critical operation for enabling an AI Accelerator (AIA) to access sh...",[struct gasket_page_table; struct sg_page_iter; struct scatterlist],[dma_address; host_addr; dev_addr]
15,gasket_map_extended_pages,functions_by_file,Relevant_KD_Entry_Point,60,"**AIARelevantFunction Score (80)**: The function `gasket_map_extended_pages` is involved in mapping pages for a device, which is critical for enabling an AI Accelerator (AIA) to access shared memor...",[gasket_page_table_entry; sg_page_iter],[dma_addr; host_addr; dev_addr]
1,gasket_mm_get_mapping_addrs,functions_by_file,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `gasket_mm_get_mapping_addrs` does not directly interact with an AI Accelerator (AIA) or perform operations related to shared memory management for a...,[struct gasket_mappable_region],[start; length_bytes]
2,apex_set_performance_expectation,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `apex_set_performance_expectation` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily sets performa...,[struct apex_performance_expectation_ioctl],[None identified]
3,gasket_partition_page_table,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `gasket_partition_page_table` does not directly interact with an AI Accelerator (AIA) or perform operations that are typical for AIA memory managemen...,[gasket_page_table_ioctl],[host_address; device_address]
4,gasket_map_buffers_flags,user_copy_operations,Message_Structure_Handling,90,**AIARelevantFunction Score (0)**: The function `gasket_map_buffers_flags` does not directly interact with an AI Accelerator (AIA) or perform operations that are typically associated with AIA memor...,[gasket_page_table_ioctl_flags],[base.host_address; base.device_address]
5,gasket_set_event_fd,user_copy_operations,Message_Structure_Handling,90,**AIARelevantFunction Score (0)**: The function `gasket_set_event_fd` does not interact with an AI Accelerator (AIA) or shared memory management relevant to AIA operations. It primarily deals with ...,[gasket_interrupt_eventfd],[interrupt; event_fd]
6,gasket_config_coherent_allocator,user_copy_operations,Message_Structure_Handling,85,"**AIARelevantFunction (80%)**: The function `gasket_config_coherent_allocator` is involved in memory allocation and deallocation for coherent memory, which is relevant for AI Accelerator integratio...",[gasket_coherent_alloc_config_ioctl],[dma_address; page_table_index]
7,gasket_unmap_buffers,user_copy_operations,Message_Structure_Handling,85,"**AIARelevantFunction Score (70)**: The function `gasket_unmap_buffers` interacts with shared memory by unmapping device addresses from a page table, which is relevant for AI Accelerator integratio...",[gasket_page_table_ioctl],[host_address; device_address]
8,gasket_page_table_detach_dmabuf_nolock,functions_by_file,Message_Structure_Handling,80,"**AIARelevantFunction Score (70)**: The function `gasket_page_table_detach_dmabuf_nolock` is involved in managing DMA buffers, which is relevant for AI Accelerator integration. It utilizes the `dma...",[gasket_dmabuf_mapping],[dma_buf; dma_buf_attachment; sg_table; dma_addr_t]
9,gasket_perform_unmapping,functions_by_file,Message_Structure_Handling,80,**AIARelevantFunction Score (0)**: The function `gasket_perform_unmapping` does not directly involve sharing memory with an AI Accelerator (AIA). It primarily focuses on unmapping pages from a devi...,[struct gasket_page_table_entry],[dma_addr; page]
10,gasket_handle_ioctl,ioctl_operations,Message_Structure_Handling,80,**AIARelevantFunction Score (70%)**: The function `gasket_handle_ioctl` interacts with various IOCTL commands that could potentially involve shared memory operations relevant to an AI Accelerator (...,[gasket_dev],[device addresses; DMA addresses; file descriptors; page table identifiers]
11,gasket_mmap,functions_by_file,Message_Structure_Handling,70,"**AIARelevantFunction Score (60)**: The function `gasket_mmap` is responsible for mapping memory regions for a device, which is relevant for AI Accelerator integration. It checks for coherent regio...",[vm_area_struct; gasket_bar_desc; gasket_mappable_region],[base address; permissions; start address; length_bytes]
