Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,gckIOMMU_Construct,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction (80%)**: The function `gckIOMMU_Construct` is involved in memory management that is relevant to AI Accelerators, particularly through the use of DMA (Direct Memory Access). It...",None,None
2,_GFPAlloc,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction (80%)**: The function `_GFPAlloc` is involved in memory allocation and DMA mapping, which are critical for enabling an AI Accelerator (AIA) to access shared memory. The functi...",[LINUX_MDL; gfp_mdl_priv; sg_table],[dmaHandle; dma_addr; physical addresses; logical addresses]
3,gckVIDMEM_NODE_LockCPU,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `gckVIDMEM_NODE_LockCPU` is involved in managing video memory, which is critical for AI accelerators that require efficient memory access. The func...",None,physical address; logical address; kvaddr
4,gckVIDMEM_AllocateLinear,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `gckVIDMEM_AllocateLinear` is responsible for allocating linear video memory, which is relevant for AI accelerators that require efficient memory ma...",[gcuVIDMEM_NODE; gckVIDMEM],[physical address; processID; bytes; alignment]
1,_GFPAlloc,functions_by_file,Relevant_KD_Entry_Point,60,"**AIARelevantFunction (80%)**: The function `_GFPAlloc` is involved in memory allocation and DMA mapping, which are critical for enabling an AI Accelerator (AIA) to access shared memory. The functi...",[LINUX_MDL; gfp_mdl_priv; sg_table],[dmaHandle; dma_addr; physical addresses; logical addresses]
2,gckVIDMEM_NODE_LockCPU,functions_by_file,Relevant_KD_Entry_Point,60,"**AIARelevantFunction Score (70%)**: The function `gckVIDMEM_NODE_LockCPU` is involved in managing video memory, which is critical for AI accelerators that require efficient memory access. The func...",None,physical address; logical address; kvaddr
3,gckVIDMEM_AllocateLinear,functions_by_file,Relevant_KD_Entry_Point,60,"**AIARelevantFunction Score (70)**: The function `gckVIDMEM_AllocateLinear` is responsible for allocating linear video memory, which is relevant for AI accelerators that require efficient memory ma...",[gcuVIDMEM_NODE; gckVIDMEM],[physical address; processID; bytes; alignment]
1,_UpdatePIDInfoListNode,functions_by_file,Message_Structure_Handling,80,**AIARelevantFunction Score (0)**: The function `_UpdatePIDInfoListNode` does not interact with an AI Accelerator (AIA) or shared memory (SMem) directly. It primarily manages process ID information...,[gcsVIDMEM_PIDINFO],[pid; ref]
2,gckVIDMEM_NODE_LockCPU,functions_by_file,Message_Structure_Handling,80,"**AIARelevantFunction Score (70%)**: The function `gckVIDMEM_NODE_LockCPU` is involved in managing video memory, which is critical for AI accelerators that require efficient memory access. The func...",None,physical address; logical address; kvaddr
3,gckVIDMEM_AllocateLinear,functions_by_file,Message_Structure_Handling,80,"**AIARelevantFunction Score (70)**: The function `gckVIDMEM_AllocateLinear` is responsible for allocating linear video memory, which is relevant for AI accelerators that require efficient memory ma...",[gcuVIDMEM_NODE; gckVIDMEM],[physical address; processID; bytes; alignment]
4,_GFPAlloc,dma_operations,Message_Structure_Handling,80,"**AIARelevantFunction Score (70%)**: The function `_GFPAlloc` is involved in memory allocation, which is crucial for AI Accelerator integration as it manages memory buffers that may be shared with ...",[LINUX_MDL; gfp_mdl_priv; gfp_alloc; sg_table],[dmaHandle; addr; numPages; contiguous; low; high]
5,gckIOMMU_Construct,dma_operations,Message_Structure_Handling,60,"**AIARelevantFunction Score (70)**: The function `gckIOMMU_Construct` is involved in memory management and DMA operations, which are relevant for AI Accelerator integration. It utilizes `dma_map_pa...",struct gcsIOMMU,dmaHandle; phys
