Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,gckIOMMU_Construct,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `gckIOMMU_Construct` is involved in memory management that is relevant to AI Accelerators, particularly through the use of DMA (Direct Memory Access...",None,dmaHandle; phys
2,_GFPAlloc,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `_GFPAlloc` is involved in memory allocation and management, which is critical for enabling communication between the CPU and an AI Accelerator (AIA...",[LINUX_MDL; gfp_mdl_priv; sg_table],[dmaHandle; dma_addr; addr; device]
3,_GFPMapKernel,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `_GFPMapKernel` is involved in memory mapping, which is relevant for AI Accelerator integration. It handles memory allocation and mapping, which ar...",[LINUX_MDL; gfp_mdl_priv],[dmaHandle; addr; numPages; bytes]
4,_GFPPhysical,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `_GFPPhysical` is involved in obtaining the physical address of memory pages, which is relevant for memory management in the context of AI Accelera...",None,None
5,gckVIDMEM_NODE_LockCPU,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `gckVIDMEM_NODE_LockCPU` is involved in managing video memory, which is relevant for AI accelerators that require efficient memory access. It inclu...",None,physical address; logical address; kvaddr
1,gckVIDMEM_NODE_LockCPU,functions_by_file,Relevant_KD_Entry_Point,60,"**AIARelevantFunction Score (70%)**: The function `gckVIDMEM_NODE_LockCPU` is involved in managing video memory, which is relevant for AI accelerators that require efficient memory access. It inclu...",None,physical address; logical address; kvaddr
2,gckIOMMU_Construct,dma_operations,Relevant_KD_Entry_Point,60,"**AIARelevantFunction Score (80)**: The function `gckIOMMU_Construct` is involved in memory management and DMA operations, which are critical for AI Accelerator integration. It uses `dma_map_page` ...",[gcsIOMMU],[paddingPageDmaHandle; domain; device]
3,_GFPAlloc,dma_operations,Relevant_KD_Entry_Point,60,"**AIARelevantFunction Score (80)**: The function `_GFPAlloc` is involved in memory allocation and management, which is critical for enabling communication between the CPU and an AI Accelerator (AIA...",[LINUX_MDL; gfp_mdl_priv; sg_table],[dmaHandle; dma_addr; addr; device]
1,_UpdatePIDInfoListNode,functions_by_file,Message_Structure_Handling,80,**AIARelevantFunction Score (0)**: The function `_UpdatePIDInfoListNode` does not interact with an AI Accelerator (AIA) or shared memory (SMem) relevant to AIA operations. It primarily manages proc...,[gcsVIDMEM_PIDINFO],[pid; ref]
2,gckVIDMEM_NODE_LockCPU,functions_by_file,Message_Structure_Handling,80,"**AIARelevantFunction Score (70%)**: The function `gckVIDMEM_NODE_LockCPU` is involved in managing video memory, which is relevant for AI accelerators that require efficient memory access. It inclu...",None,physical address; logical address; kvaddr
3,gckIOMMU_Construct,dma_operations,Message_Structure_Handling,70,"**AIARelevantFunction Score (80)**: The function `gckIOMMU_Construct` is involved in memory management and DMA operations, which are critical for AI Accelerator integration. It uses `dma_map_page` ...",[gcsIOMMU],[paddingPageDmaHandle; domain; device]
4,_GFPAlloc,dma_operations,Message_Structure_Handling,70,"**AIARelevantFunction Score (80)**: The function `_GFPAlloc` is involved in memory allocation and management, which is critical for enabling communication between the CPU and an AI Accelerator (AIA...",[LINUX_MDL; gfp_mdl_priv; sg_table],[dmaHandle; dma_addr; addr; device]
5,_GFPMapKernel,functions_by_file,Message_Structure_Handling,60,"**AIARelevantFunction Score (70%)**: The function `_GFPMapKernel` is involved in memory mapping, which is relevant for AI Accelerator integration. It handles memory allocation and mapping, which ar...",[LINUX_MDL; gfp_mdl_priv],[dmaHandle; addr; numPages; bytes]
