Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,hailo_vdma_buffer_map,functions_by_file,AIARelevantFunction,90,**AIARelevantFunction (90%)**: The function `hailo_vdma_buffer_map` is heavily involved in managing memory buffers that are likely shared with an AI Accelerator (AIA). It performs operations such a...,[hailo_vdma_buffer; hailo_dmabuf_info; sg_table],[user_address; handle; size; dmabuf; dmabuf_attachment]
2,hailo_desc_list_create,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction (80%)**: The function `hailo_desc_list_create` is involved in allocating a coherent DMA buffer for descriptor lists, which is critical for AI Accelerator (AIA) operations. It ...",[hailo_descriptors_list_buffer],[dma_address; handle]
3,prepare_sg_table,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction (80)**: The function `prepare_sg_table` is involved in preparing a scatter-gather table for memory mapping, which is critical for enabling an AI Accelerator (AIA) to access sh...",[struct hailo_vdma_low_memory_buffer; struct sg_table; struct scatterlist],[pages_address; dma_address; handle; pages_count]
4,hailo_vdma_buffer_map_ioctl,user_copy_operations,AIARelevantFunction,80,"**AIARelevantFunction (80%)**: The function `hailo_vdma_buffer_map_ioctl` is involved in mapping a user buffer to a device buffer, which is critical for enabling the AI Accelerator (AIA) to access ...",[hailo_vdma_buffer_map_params],[user_address; allocated_buffer_handle; mapped_handle]
5,hailo_vdma_launch_transfer_ioctl,user_copy_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80%)**: The function `hailo_vdma_launch_transfer_ioctl` is involved in transferring data between the host and the AI Accelerator (AIA). It utilizes several memory manag...,[hailo_vdma_launch_transfer_params; hailo_vdma_buffer; hailo_descriptors_list_buffer],[desc_handle; user_address; dma_address; buffers; handle]
6,vdma_sync_buffer_interval,functions_by_file,AIARelevantFunction,70,**AIARelevantFunction Score (70)**: The function `vdma_sync_buffer_interval` is involved in synchronizing a buffer that is likely used for communication with an AI Accelerator (AIA). It utilizes DM...,[struct hailo_vdma_buffer; struct scatterlist],[dma_address; user_address; size]
7,hailo_fw_control,user_copy_operations,AIARelevantFunction,70,**AIARelevantFunction Score (70%)**: The function `hailo_fw_control` interacts with the AI Accelerator by managing firmware control through the `hailo_pcie_resources` structure. It uses `copy_from_...,[struct hailo_fw_control],[buffer_len; timeout_ms]
8,hailo_desc_list_program_ioctl,user_copy_operations,AIARelevantFunction,70,**AIARelevantFunction Score (70)**: The function `hailo_desc_list_program_ioctl` interacts with user space to configure a DMA transfer for an AI Accelerator. It uses `copy_from_user()` to retrieve ...,[hailo_desc_list_program_params; hailo_vdma_buffer; hailo_descriptors_list_buffer; hailo_vdma_mapped_transfer_buffer],[buffer_handle; desc_handle; dma_address; user_address]
9,hailo_desc_list_create_ioctl,ioctl_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `hailo_desc_list_create_ioctl` is involved in creating a descriptor list for a video DMA (VDMA) controller, which is relevant for AI Accelerator in...",[hailo_desc_list_create_params; hailo_descriptors_list_buffer],[desc_handle; dma_address]
10,hailo_pcie_fops_unlockedioctl,ioctl_operations,AIARelevantFunction,60,**AIARelevantFunction (60%)**: The function `hailo_pcie_fops_unlockedioctl` interacts with an AI Accelerator (AIA) by handling various IOCTL commands that may involve memory management and device c...,[hailo_file_context],[pci_dev* pDev; u32 board_index; u32 soc_used_channels_bitmap]
