Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,gasket-driver/src/gasket_page_table.c:gasket_page_table_detach_dmabuf_nolock,functions_by_file,AIARelevantFunction,60,"**AIARelevantFunction Score (60)**: The function `gasket_page_table_detach_dmabuf_nolock` is involved in managing DMA buffers, which is relevant for AI Accelerator integration. It interacts with th...",[gasket_dmabuf_mapping; dma_buf],[dma_buf; dma_buf_attachment; sg_table; dma_address]
2,gasket-driver/src/gasket_core.c:gasket_init,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The `gasket_init` function does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily initializes mutexes and driv...,None,None
3,gasket-driver/src/gasket_core.c:gasket_register_device,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `gasket_register_device` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on registering ...,None,None
4,gasket-driver/src/gasket_core.c:gasket_pci_add_device,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gasket_pci_add_device` does not involve any operations related to shared memory management or interactions with an AI Accelerator (AIA). It primari...,None,None
5,gasket-driver/src/gasket_core.c:lookup_pci_internal_desc,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `lookup_pci_internal_desc` does not interact with any AI Accelerator (AIA) relevant functions or memory management patterns associated with shared me...,None,None
6,gasket-driver/src/gasket_core.c:gasket_alloc_dev,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gasket_alloc_dev` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily focuses on allocating ...,None,None
7,gasket-driver/src/gasket_core.c:gasket_find_dev_slot,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `gasket_find_dev_slot` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily focuses on finding ...,None,None
8,gasket-driver/src/gasket_core.c:gasket_setup_pci,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gasket_setup_pci` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily focuses on setting up ...,None,None
9,gasket-driver/src/gasket_core.c:gasket_map_pci_bar,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gasket_map_pci_bar` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily deals with mapping PCI BAR...,None,None
10,gasket-driver/src/gasket_core.c:gasket_wait_with_reschedule,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `gasket_wait_with_reschedule` does not interact with any AI Accelerator (AIA) related memory management or shared memory operations. It primarily rea...,None,None
11,gasket-driver/src/gasket_core.c:gasket_enable_device,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gasket_enable_device` does not involve any operations related to sharing shared memory with an AI Accelerator (AIA). It primarily focuses on enabli...,None,None
12,gasket-driver/src/gasket_core.c:gasket_get_driver_desc,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `gasket_get_driver_desc` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It simply retrieves the driver...,None,None
13,gasket-driver/src/gasket_core.c:check_and_invoke_callback,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `check_and_invoke_callback` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It simply checks if a callb...,None,None
14,gasket-driver/src/gasket_core.c:gasket_get_hw_status,functions_by_file,AIARelevantFunction,0,"**AIARelevantFunction Score (0)**: The function `gasket_get_hw_status` does not involve any operations related to shared memory management, DMA, or memory mapping that are typically associated with...",None,None
15,gasket-driver/src/gasket_core.c:gasket_check_and_invoke_callback_nolock,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `gasket_check_and_invoke_callback_nolock` does not involve any operations related to shared memory management or interactions with an AI Accelerator ...,None,None
16,gasket-driver/src/gasket_core.c:gasket_add_cdev,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `gasket_add_cdev` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily focuses on initializing...,None,None
17,gasket-driver/src/gasket_page_table.c:gasket_page_table_init,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `gasket_page_table_init` does not interact with an AI Accelerator (AIA) or shared memory (SMem) directly. It primarily initializes a page table struc...,None,None
18,gasket-driver/src/gasket_page_table.c:gasket_page_table_reset,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `gasket_page_table_reset` does not involve any operations that directly relate to sharing memory with an AI Accelerator (AIA). It primarily focuses o...,None,None
19,gasket-driver/src/gasket_page_table.c:gasket_page_table_unmap_all_nolock,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `gasket_page_table_unmap_all_nolock` does not involve any operations that directly relate to sharing memory with an AI Accelerator (AIA). It primaril...,None,None
20,gasket-driver/src/gasket_page_table.c:gasket_components_to_dev_address,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `gasket_components_to_dev_address` does not involve any operations that directly relate to sharing memory with an AI Accelerator (AIA). It primarily ...,None,None
