Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,hailo_vdma_buffer_map,functions_by_file,AIARelevantFunction,90,"**AIARelevantFunction Score (90)**: The function `hailo_vdma_buffer_map` is heavily involved in mapping user memory to DMA buffers, which is critical for AI Accelerator integration. It utilizes sev...",[hailo_vdma_buffer; hailo_dmabuf_info; sg_table; vm_area_struct],[user_address; handle; size; dmabuf; dmabuf_attachment; dmabuf_sg_table]
2,hailo_vdma_buffer_map_ioctl,user_copy_operations,AIARelevantFunction,90,**AIARelevantFunction (90%)**: The function `hailo_vdma_buffer_map_ioctl` is heavily involved in managing memory buffers that are likely shared with an AI Accelerator (AIA). It uses `copy_from_user...,[struct hailo_vdma_buffer_map_params],[user_address; allocated_buffer_handle; mapped_handle]
3,hailo_desc_list_create,functions_by_file,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `hailo_desc_list_create` is involved in allocating memory for descriptor lists that could potentially be used by an AI Accelerator (AIA). It utilize...,[hailo_descriptors_list_buffer; hailo_vdma_descriptor],[dma_address; handle]
4,prepare_sg_table,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `prepare_sg_table` is involved in preparing a scatter-gather table for memory mapping, which is critical for enabling an AI Accelerator (AIA) to acc...",[struct hailo_vdma_low_memory_buffer; struct sg_table; struct scatterlist],[pages_address; dma_address; handle]
5,hailo_vdma_launch_transfer_ioctl,user_copy_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `hailo_vdma_launch_transfer_ioctl` is involved in transferring data between the CPU and an AI Accelerator (AIA). It handles user buffers and manages...,[hailo_vdma_launch_transfer_params; hailo_vdma_transfer_buffer; hailo_descriptors_list_buffer; hailo_vdma_buffer; hailo_vdma_mapped_transfer_buffer],[desc_handle; mapped_buffer_handle; dma_address; user_address; size; offset]
6,vdma_sync_buffer_interval,functions_by_file,AIARelevantFunction,70,**AIARelevantFunction Score (70)**: The function `vdma_sync_buffer_interval` is involved in synchronizing a buffer that is likely used in conjunction with an AI Accelerator (AIA). It utilizes DMA s...,[struct hailo_vdma_buffer; struct scatterlist],[dma_address; user_address; size]
7,hailo_fw_control,user_copy_operations,AIARelevantFunction,70,**AIARelevantFunction Score (70%)**: The function `hailo_fw_control` interacts with the AI Accelerator by managing firmware control through the `hailo_pcie_resources` structure. It uses `copy_from_...,[hailo_fw_control],[buffer_len; timeout_ms]
8,hailo_desc_list_create_ioctl,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `hailo_desc_list_create_ioctl` is involved in creating a descriptor list for a video DMA (VDMA) controller, which is relevant for AI Accelerator int...",[hailo_desc_list_create_params; hailo_descriptors_list_buffer],[desc_handle; dma_address]
1,hailo_vdma_ioctl,functions_by_file,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `hailo_vdma_ioctl` does not directly involve any operations that share memory with an AI Accelerator (AIA). It primarily serves as an entry point for...,None,None
2,hailo_query_driver_info,user_copy_operations,Relevant_KD_Entry_Point,100,"**AIARelevantFunction Score (0)**: The function `hailo_query_driver_info` does not involve any operations related to shared memory management, DMA, or memory mapping that would typically be associa...",[struct hailo_driver_info],[None identified]
3,hailo_mark_as_in_use,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `hailo_mark_as_in_use` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily checks and updates the us...,[struct hailo_mark_as_in_use_params],[None identified]
4,hailo_vdma_buffer_map_ioctl,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction (90%)**: The function `hailo_vdma_buffer_map_ioctl` is heavily involved in managing memory buffers that are likely shared with an AI Accelerator (AIA). It uses `copy_from_user...,[struct hailo_vdma_buffer_map_params],[user_address; allocated_buffer_handle; mapped_handle]
5,hailo_vdma_buffer_sync_ioctl,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `hailo_vdma_buffer_sync_ioctl` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that would qualify it ...,[hailo_vdma_buffer_sync_params],[handle]
6,hailo_vdma_interrupts_wait_ioctl,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `hailo_vdma_interrupts_wait_ioctl` does not directly involve sharing memory with an AI Accelerator (AIA). It primarily handles interrupts and waits f...,[hailo_vdma_interrupts_wait_params],[channels_bitmap_per_engine; channels_count]
7,hailo_desc_list_release_ioctl,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `hailo_desc_list_release_ioctl` does not directly interact with an AI Accelerator (AIA) or manage shared memory for an AIA. It primarily handles the ...,[hailo_desc_list_release_params; hailo_descriptors_list_buffer],[desc_handle; handle; dma_address]
8,hailo_vdma_buffer_unmap_ioctl,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `hailo_vdma_buffer_unmap_ioctl` does not directly involve operations that share memory with an AI Accelerator (AIA). It primarily focuses on unmappin...,[struct hailo_vdma_buffer_unmap_params],[mapped_handle]
9,hailo_nnc_ioctl,ioctl_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `hailo_nnc_ioctl` does not directly interact with shared memory or perform operations that would typically be associated with an AI Accelerator (AIA)...,None,None
10,hailo_read_notification_ioctl,ioctl_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `hailo_read_notification_ioctl` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that is typical for A...,[struct hailo_d2h_notification],[tgid; buffer_len; buffer]
11,hailo_desc_list_program_ioctl,ioctl_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `hailo_desc_list_program_ioctl` does not directly interact with an AI Accelerator (AIA) or manage shared memory in a way that would qualify it as an ...,[hailo_desc_list_program_params; hailo_vdma_buffer; hailo_descriptors_list_buffer; hailo_vdma_mapped_transfer_buffer],[buffer_handle; desc_handle; dma_address; buffer_size; user_address]
12,hailo_vdma_enable_channels_ioctl,ioctl_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `hailo_vdma_enable_channels_ioctl` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that would qualify...,[hailo_vdma_enable_channels_params; hailo_vdma_file_context],[enabled_channels_bitmap]
13,hailo_fw_control,user_copy_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (70%)**: The function `hailo_fw_control` interacts with the AI Accelerator by managing firmware control through the `hailo_pcie_resources` structure. It uses `copy_from_...,[hailo_fw_control],[buffer_len; timeout_ms]
14,hailo_desc_list_create_ioctl,user_copy_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction Score (70)**: The function `hailo_desc_list_create_ioctl` is involved in creating a descriptor list for a video DMA (VDMA) controller, which is relevant for AI Accelerator int...",[hailo_desc_list_create_params; hailo_descriptors_list_buffer],[desc_handle; dma_address]
15,hailo_vdma_launch_transfer_ioctl,user_copy_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (80)**: The function `hailo_vdma_launch_transfer_ioctl` is involved in transferring data between the CPU and an AI Accelerator (AIA). It handles user buffers and manages...,[hailo_vdma_launch_transfer_params; hailo_vdma_transfer_buffer; hailo_descriptors_list_buffer; hailo_vdma_buffer; hailo_vdma_mapped_transfer_buffer],[desc_handle; mapped_buffer_handle; dma_address; user_address; size; offset]
