Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,rproc_alloc_carveout,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `rproc_alloc_carveout` is involved in allocating coherent DMA memory for a remote processor (AIA). It uses `dma_alloc_coherent`, which is a critical...",[struct rproc_mem_entry],[dma; da; va]
2,rpmsg_probe,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction (80)**: The function `rpmsg_probe` is involved in setting up communication between the host and a remote processor using the RPMsg protocol, which often involves sharing memor...",[virtproc_info; rpmsg_device; scatterlist],[dma_address; src; dst; bufs_dma]
1,rpmsg_probe,dma_operations,Relevant_KD_Entry_Point,70,"**AIARelevantFunction (80)**: The function `rpmsg_probe` is involved in setting up communication between the host and a remote processor using the RPMsg protocol, which often involves sharing memor...",[virtproc_info; rpmsg_device; scatterlist],[dma_address; src; dst; bufs_dma]
2,rproc_alloc_carveout,functions_by_file,Relevant_KD_Entry_Point,60,"**AIARelevantFunction Score (80)**: The function `rproc_alloc_carveout` is involved in allocating coherent DMA memory for a remote processor (AIA). It uses `dma_alloc_coherent`, which is a critical...",[struct rproc_mem_entry],[dma; da; va]
1,rproc_handle_vdev,functions_by_file,Message_Structure_Handling,80,**AIARelevantFunction Score (0)**: The function `rproc_handle_vdev` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) for an AIA. It primarily handles the regis...,[struct fw_rsc_vdev; struct rproc_vdev_data],[id; rsc_offset; rsc]
2,rproc_handle_trace,functions_by_file,Message_Structure_Handling,80,**AIARelevantFunction Score (0)**: The function `rproc_handle_trace` does not interact with an AI Accelerator (AIA) or shared memory (SMem) mechanisms. It primarily handles trace resources related ...,[fw_rsc_trace; rproc_debug_trace],[da; len]
3,rpmsg_recv_done,functions_by_file,Message_Structure_Handling,80,**AIARelevantFunction Score (0%)**: The function `rpmsg_recv_done` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily handles the reception of mess...,[struct rpmsg_hdr],[None identified]
4,rpmsg_recv_single,functions_by_file,Message_Structure_Handling,80,**AIARelevantFunction Score (0)**: The function `rpmsg_recv_single` does not interact with an AI Accelerator (AIA) or shared memory (SMem) management. It primarily handles message reception over a ...,[rpmsg_hdr],[src; dst; reserved; len; flags]
5,virtio_rpmsg_announce_create,functions_by_file,Message_Structure_Handling,80,"**AIARelevantFunction Score (0)**: The function `virtio_rpmsg_announce_create` does not interact with an AI Accelerator (AIA) or perform operations related to shared memory management, DMA, or memo...",[struct rpmsg_ns_msg],[addr]
6,rproc_alloc_carveout,dma_operations,Message_Structure_Handling,80,"**AIARelevantFunction (70%)**: The function `rproc_alloc_carveout` is involved in allocating coherent DMA memory and mapping it to a device address, which is relevant for AI Accelerator integration...",[rproc_mem_entry],[dma; da; va]
7,rpmsg_probe,dma_operations,Message_Structure_Handling,75,"**AIARelevantFunction (80)**: The function `rpmsg_probe` is involved in setting up communication between the host and a remote processor using the RPMsg protocol, which often involves sharing memor...",[virtproc_info; rpmsg_device; scatterlist],[dma_address; src; dst; bufs_dma]
