Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,mc_alloc_internal,dma_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `mc_alloc_internal` is involved in memory allocation that could be relevant for an AI Accelerator (AIA) context, particularly through the use of `dm...",[struct mem_chunk],[mc->pa; mc->va; mc->nc_id; mc->pid]
2,ncdev_mem_alloc,user_copy_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `ncdev_mem_alloc` is involved in memory allocation for a device, which is relevant for AI Accelerator integration. It uses `mc_alloc_align` to alloc...",[struct neuron_ioctl_mem_alloc; struct mem_chunk],[mem_handle; pa; va; mc_handle; nc_id]
3,ncdev_mem_get_pa_deprecated,user_copy_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `ncdev_mem_get_pa_deprecated` is involved in obtaining a physical address (PA) for a memory chunk associated with an AI Accelerator. It uses the `ne...,[struct neuron_ioctl_mem_get_pa; struct mem_chunk],[mem_handle; pa; pa (from mem_chunk); mc_handle]
4,ncdev_ioctl,ioctl_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `ncdev_ioctl` is involved in handling various IOCTL commands that are likely related to memory management and DMA operations for an AI Accelerator. ...,[neuron_attached_process; neuron_reset_request],[pid; memory_used; nc_map; dma addresses; device index]
5,mp_init_hrm_pool,functions_by_file,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `mp_init_hrm_pool` is primarily focused on initializing a memory pool for a device, which involves allocating coherent DMA memory using `dma_alloc_...",None,None
6,ncdev_acquire_neuron_ds,user_copy_operations,AIARelevantFunction,70,**AIARelevantFunction (70%)**: The function `ncdev_acquire_neuron_ds` interacts with shared memory by acquiring a datastore for an AI Accelerator (AIA). It utilizes the `neuron_copy_from_user` func...,[struct neuron_ioctl_neuron_ds_info],[pid; mmap_offset; size; pa; va]
7,ncdev_mem_buf_copy,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `ncdev_mem_buf_copy` is involved in copying memory buffers, which is relevant for AI Accelerator integration. It handles memory management through ...",[struct neuron_ioctl_mem_buf_copy; struct neuron_ioctl_mem_buf_copy64],[mem_handle; buffer; copy_to_mem_handle; offset; size]
8,ncdev_bar_read,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `ncdev_bar_read` interacts with memory management and data transfer, which are relevant for AI Accelerator integration. It allocates memory for data...",[mem_chunk; neuron_device],[pa (physical address); va (virtual address); nc_id (neuron chunk ID); pid (process ID)]
1,ncdev_compatible_version,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0%)**: The function `ncdev_compatible_version` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily retrieves the compat...,[struct neuron_ioctl_compatible_version],[None identified]
2,ncdev_device_info,user_copy_operations,Relevant_KD_Entry_Point,100,"**AIARelevantFunction Score (0)**: The function `ncdev_device_info` does not directly interact with an AI Accelerator (AIA) or perform operations related to shared memory management, DMA, or memory...",[struct neuron_ioctl_device_info],[connected_devices[]; bar_address[]; bar_size[]]
3,ncdev_semaphore_ioctl,user_copy_operations,Relevant_KD_Entry_Point,100,**AIARelevantFunction Score (0)**: The function `ncdev_semaphore_ioctl` does not interact with an AI Accelerator (AIA) or shared memory (SMem) in a manner typical of AIA-related functions. It prima...,[struct neuron_ioctl_semaphore],[nc_id; semaphore_index; value]
4,ncdev_nc_model_started_count,user_copy_operations,Relevant_KD_Entry_Point,100,"**AIARelevantFunction Score (0)**: The function `ncdev_nc_model_started_count` does not interact with an AI Accelerator (AIA) or perform any operations related to shared memory management, DMA, or ...",[struct neuron_ioctl_nc_model_started_count],[nc_id; started_count]
5,ncdev_crwl_nc_range_mark,user_copy_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction Score (0)**: The function `ncdev_crwl_nc_range_mark` does not directly interact with an AI Accelerator (AIA) or manage shared memory between the CPU and an AIA. Instead, it pr...",[struct neuron_ioctl_crwl_nc_map_ext; struct neuron_ioctl_crwl_nc_map],[nc_count; start_nc_index; end_nc_index; max_nc_available; bitmap]
6,ncdev_mem_alloc,user_copy_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction Score (80)**: The function `ncdev_mem_alloc` is involved in memory allocation for a device, which is relevant for AI Accelerator integration. It uses `mc_alloc_align` to alloc...",[struct neuron_ioctl_mem_alloc; struct mem_chunk],[mem_handle; pa; va; mc_handle; nc_id]
7,ncdev_mem_get_pa_deprecated,user_copy_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (80)**: The function `ncdev_mem_get_pa_deprecated` is involved in obtaining a physical address (PA) for a memory chunk associated with an AI Accelerator. It uses the `ne...,[struct neuron_ioctl_mem_get_pa; struct mem_chunk],[mem_handle; pa; pa (from mem_chunk); mc_handle]
8,ncdev_mem_buf_copy,user_copy_operations,Relevant_KD_Entry_Point,90,"**AIARelevantFunction Score (70%)**: The function `ncdev_mem_buf_copy` is involved in copying memory buffers, which is relevant for AI Accelerator integration. It handles memory management through ...",[struct neuron_ioctl_mem_buf_copy; struct neuron_ioctl_mem_buf_copy64],[mem_handle; buffer; copy_to_mem_handle; offset; size]
9,ncdev_ioctl,ioctl_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (80)**: The function `ncdev_ioctl` is involved in handling various IOCTL commands that are likely related to memory management and DMA operations for an AI Accelerator. ...,[neuron_attached_process; neuron_reset_request],[pid; memory_used; nc_map; dma addresses; device index]
10,ncdev_misc_ioctl,ioctl_operations,Relevant_KD_Entry_Point,90,**AIARelevantFunction Score (0)**: The function `ncdev_misc_ioctl` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily serves as an IOCTL h...,None,None
11,ncdev_mem_get_info_deprecated,user_copy_operations,Relevant_KD_Entry_Point,80,"**AIARelevantFunction Score (0)**: The function does not directly interact with an AI Accelerator (AIA) or perform operations that are typical for AIA memory management, such as pinning user pages,...",[struct neuron_ioctl_mem_get_info],[mem_handle; pa]
12,ncdev_acquire_neuron_ds,user_copy_operations,Relevant_KD_Entry_Point,80,**AIARelevantFunction (70%)**: The function `ncdev_acquire_neuron_ds` interacts with shared memory by acquiring a datastore for an AI Accelerator (AIA). It utilizes the `neuron_copy_from_user` func...,[struct neuron_ioctl_neuron_ds_info],[pid; mmap_offset; size; pa; va]
13,ncdev_bar_read,user_copy_operations,Relevant_KD_Entry_Point,60,"**AIARelevantFunction Score (70)**: The function `ncdev_bar_read` interacts with memory management and data transfer, which are relevant for AI Accelerator integration. It allocates memory for data...",[mem_chunk; neuron_device],[pa (physical address); va (virtual address); nc_id (neuron chunk ID); pid (process ID)]
1,ncdev_device_basic_info,user_copy_operations,Message_Structure_Handling,100,"**AIARelevantFunction Score (0)**: The function `ncdev_device_basic_info` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It does not pin user pages, iterate...",[struct neuron_ioctl_device_basic_info],[None identified]
2,ncdev_compatible_version,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0%)**: The function `ncdev_compatible_version` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily retrieves the compat...,[struct neuron_ioctl_compatible_version],[None identified]
3,ncdev_device_bdf,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `ncdev_device_bdf` does not interact with an AI Accelerator (AIA) or shared memory management relevant to AIA operations. It simply retrieves the bus...,[struct neuron_ioctl_device_bdf],[bus_number; slot; func]
4,ncdev_device_info,user_copy_operations,Message_Structure_Handling,100,"**AIARelevantFunction Score (0)**: The function `ncdev_device_info` does not directly interact with an AI Accelerator (AIA) or perform operations related to shared memory management, DMA, or memory...",[struct neuron_ioctl_device_info],[connected_devices[]; bar_address[]; bar_size[]]
5,ncdev_cinit_set_state,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0%)**: The function `ncdev_cinit_set_state` does not interact with an AI Accelerator (AIA) or shared memory (SMem) directly. It primarily handles user commands related ...,[struct neuron_ioctl_cinit_set],[nc_id]
6,ncdev_semaphore_ioctl,user_copy_operations,Message_Structure_Handling,100,**AIARelevantFunction Score (0)**: The function `ncdev_semaphore_ioctl` does not interact with an AI Accelerator (AIA) or shared memory (SMem) in a manner typical of AIA-related functions. It prima...,[struct neuron_ioctl_semaphore],[nc_id; semaphore_index; value]
7,ncdev_nc_model_started_count,user_copy_operations,Message_Structure_Handling,100,"**AIARelevantFunction Score (0)**: The function `ncdev_nc_model_started_count` does not interact with an AI Accelerator (AIA) or perform any operations related to shared memory management, DMA, or ...",[struct neuron_ioctl_nc_model_started_count],[nc_id; started_count]
8,ncdev_crwl_nc_range_mark,user_copy_operations,Message_Structure_Handling,90,**AIARelevantFunction Score (0)**: The function `ncdev_crwl_nc_range_mark` does not directly interact with an AI Accelerator (AIA) or manage shared memory (SMem) in a way that would be relevant to ...,[struct neuron_ioctl_crwl_nc_map_ext; struct neuron_ioctl_crwl_nc_map],[nc_count; start_nc_index; end_nc_index; max_nc_available; bitmap]
9,ncdev_mem_get_info_deprecated,user_copy_operations,Message_Structure_Handling,90,"**AIARelevantFunction Score (0)**: The function does not directly interact with an AI Accelerator (AIA) or perform operations that are typical for AIA memory management, such as pinning user pages,...",[struct neuron_ioctl_mem_get_info],[mem_handle; pa]
10,ncdev_acquire_neuron_ds,user_copy_operations,Message_Structure_Handling,90,**AIARelevantFunction (70%)**: The function `ncdev_acquire_neuron_ds` interacts with shared memory by acquiring a datastore for an AI Accelerator (AIA). It utilizes the `neuron_copy_from_user` func...,[struct neuron_ioctl_neuron_ds_info],[pid; mmap_offset; size; pa; va]
11,ncdev_mem_alloc,user_copy_operations,Message_Structure_Handling,85,"**AIARelevantFunction Score (80)**: The function `ncdev_mem_alloc` is involved in memory allocation for a device, which is relevant for AI Accelerator integration. It uses `mc_alloc_align` to alloc...",[struct neuron_ioctl_mem_alloc; struct mem_chunk],[mem_handle; pa; va; mc_handle; nc_id]
12,ncdev_mem_get_pa_deprecated,user_copy_operations,Message_Structure_Handling,85,**AIARelevantFunction Score (80)**: The function `ncdev_mem_get_pa_deprecated` is involved in obtaining a physical address (PA) for a memory chunk associated with an AI Accelerator. It uses the `ne...,[struct neuron_ioctl_mem_get_pa; struct mem_chunk],[mem_handle; pa; pa (from mem_chunk); mc_handle]
13,ncdev_mem_buf_copy,user_copy_operations,Message_Structure_Handling,85,"**AIARelevantFunction Score (70%)**: The function `ncdev_mem_buf_copy` is involved in copying memory buffers, which is relevant for AI Accelerator integration. It handles memory management through ...",[struct neuron_ioctl_mem_buf_copy; struct neuron_ioctl_mem_buf_copy64],[mem_handle; buffer; copy_to_mem_handle; offset; size]
14,ncdev_ioctl,ioctl_operations,Message_Structure_Handling,85,**AIARelevantFunction Score (80)**: The function `ncdev_ioctl` is involved in handling various IOCTL commands that are likely related to memory management and DMA operations for an AI Accelerator. ...,[neuron_attached_process; neuron_reset_request],[pid; memory_used; nc_map; dma addresses; device index]
15,mc_alloc_internal,functions_by_file,Message_Structure_Handling,80,"**AIARelevantFunction Score (70)**: The function `mc_alloc_internal` is primarily focused on memory allocation for a device, which is relevant for AI Accelerator integration. It uses `dma_alloc_coh...",[struct mem_chunk],[mc->va; mc->pa; mc->mc_handle; mc->pid]
16,ncdev_bar_read,user_copy_operations,Message_Structure_Handling,80,"**AIARelevantFunction Score (70)**: The function `ncdev_bar_read` interacts with memory management and data transfer, which are relevant for AI Accelerator integration. It allocates memory for data...",[mem_chunk; neuron_device],[pa (physical address); va (virtual address); nc_id (neuron chunk ID); pid (process ID)]
17,neuron_copy_from_user,user_copy_operations,Message_Structure_Handling,70,"**AIARelevantFunction Score (0)**: The function `neuron_copy_from_user` does not directly interact with any AI Accelerator (AIA) relevant functions such as pinning user pages, obtaining physical ad...",None,None
18,mp_init_hrm_pool,dma_operations,Message_Structure_Handling,60,"**AIARelevantFunction Score (70)**: The function `mp_init_hrm_pool` is responsible for initializing a memory pool, which involves allocating coherent DMA memory using `dma_alloc_coherent`. This is ...",[None identified],[page_va_array; page_pa_array]
