Rank,Function_Name,Operation_Type,Category,Score,Reasoning_Summary,Message_Structures,SMIDs_Identified
1,hailort-drivers/linux/pcie/../vdma/memory.c:hailo_vdma_buffer_map,functions_by_file,AIARelevantFunction,90,"**AIARelevantFunction Score (90)**: The function `hailo_vdma_buffer_map` is heavily involved in managing memory mappings for DMA operations, which is critical for AI Accelerator integration. It han...",[hailo_vdma_buffer; hailo_dmabuf_info; sg_table; hailo_vdma_low_memory_buffer],[user_address; handle; size; dmabuf; dma_buf_attachment; dma_mask]
2,user_copy:hailo_vdma_buffer_map_ioctl,user_copy_operations,AIARelevantFunction,90,**AIARelevantFunction (90%)**: The function `hailo_vdma_buffer_map_ioctl` is heavily involved in managing memory for an AI Accelerator (AIA). It uses `copy_from_user` to retrieve a structure (`buf_...,[hailo_vdma_buffer_map_params],[user_address; allocated_buffer_handle; mapped_handle]
3,hailort-drivers/linux/pcie/../vdma/memory.c:hailo_desc_list_create,functions_by_file,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `hailo_desc_list_create` is involved in memory management for descriptors that are likely used by an AI Accelerator (AIA). It allocates coherent DMA...,[hailo_descriptors_list_buffer; hailo_vdma_descriptor],[dma_address; handle]
4,hailort-drivers/linux/pcie/../vdma/memory.c:prepare_sg_table,functions_by_file,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `prepare_sg_table` is involved in preparing a scatter-gather table for memory management, which is crucial for sharing memory with an AI Accelerator...",[struct hailo_vdma_low_memory_buffer; struct sg_table; struct scatterlist],[pages_address; dma_address; handle]
5,hailo_desc_list_create,dma_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `hailo_desc_list_create` is involved in allocating a coherent DMA buffer for descriptors that will likely be used by an AI Accelerator (AIA). It uti...,[hailo_descriptors_list_buffer],[dma_address; handle]
6,user_copy:hailo_vdma_buffer_map_ioctl,user_copy_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `hailo_vdma_buffer_map_ioctl` is involved in mapping a user buffer to a DMA buffer, which is critical for AI Accelerator integration. It utilizes th...",[hailo_vdma_buffer_map_params],[user_address; allocated_buffer_handle; mapped_handle]
7,user_copy:hailo_vdma_launch_transfer_ioctl,user_copy_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `hailo_vdma_launch_transfer_ioctl` is involved in transferring data to an AI Accelerator (AIA) by managing buffers and descriptors. It utilizes the ...,[hailo_vdma_launch_transfer_params],[desc_handle; buffers; mapped_buffer_handle]
8,hailo_vdma_buffer_map_ioctl,ioctl_operations,AIARelevantFunction,80,"**AIARelevantFunction Score (80)**: The function `hailo_vdma_buffer_map_ioctl` is involved in mapping a user buffer to a device buffer, which is a critical operation for enabling communication betw...",[hailo_vdma_buffer_map_params],[user_address; allocated_buffer_handle; mapped_handle]
9,hailo_vdma_launch_transfer_ioctl,ioctl_operations,AIARelevantFunction,80,**AIARelevantFunction Score (80)**: The function `hailo_vdma_launch_transfer_ioctl` is involved in transferring data to an AI Accelerator (AIA) by managing buffers and descriptors. It utilizes the ...,[hailo_vdma_launch_transfer_params],[desc_handle; buffers[i].mapped_buffer_handle; buffers[i].size; buffers[i].offset]
10,hailort-drivers/linux/pcie/../vdma/memory.c:vdma_sync_buffer_interval,functions_by_file,AIARelevantFunction,70,**AIARelevantFunction Score (70)**: The function `vdma_sync_buffer_interval` is involved in synchronizing a buffer that is likely used in conjunction with an AI Accelerator (AIA). It utilizes the `...,[struct hailo_vdma_buffer; struct scatterlist],[dma_address; user_address; size]
11,user_copy:hailo_desc_list_create_ioctl,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `hailo_desc_list_create_ioctl` is involved in creating a descriptor list for a video DMA (VDMA) controller, which is relevant for AI Accelerator int...",[hailo_desc_list_create_params; hailo_descriptors_list_buffer],[desc_handle; dma_address]
12,user_copy:hailo_desc_list_program_ioctl,user_copy_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70%)**: The function `hailo_desc_list_program_ioctl` interacts with shared memory through the `hailo_desc_list_program_params` structure, which contains fields like `bu...",[hailo_desc_list_program_params; hailo_vdma_buffer; hailo_descriptors_list_buffer; hailo_vdma_mapped_transfer_buffer],[buffer_handle; desc_handle; dma_address; user_address; handle]
13,user_copy:hailo_vdma_launch_transfer_ioctl,user_copy_operations,AIARelevantFunction,70,**AIARelevantFunction (70%)**: The function `hailo_vdma_launch_transfer_ioctl` is involved in transferring data between the CPU and an AI Accelerator (AIA) through a Virtual DMA (VDMA) mechanism. I...,[hailo_vdma_launch_transfer_params; hailo_vdma_buffer; hailo_vdma_mapped_transfer_buffer],[desc_handle; user_address; dma_address; buffers; handle]
14,hailo_desc_list_create_ioctl,ioctl_operations,AIARelevantFunction,70,"**AIARelevantFunction Score (70)**: The function `hailo_desc_list_create_ioctl` is involved in creating a descriptor list for a video DMA (VDMA) controller, which is relevant for AI Accelerator int...",[hailo_desc_list_create_params; hailo_descriptors_list_buffer],[desc_handle; dma_address]
15,hailo_desc_list_program_ioctl,ioctl_operations,AIARelevantFunction,70,"**AIARelevantFunction (70%)**: The function `hailo_desc_list_program_ioctl` interacts with shared memory through the `hailo_desc_list_program_params` structure, which contains fields like `buffer_h...",[hailo_desc_list_program_params; hailo_vdma_buffer; hailo_descriptors_list_buffer; hailo_vdma_mapped_transfer_buffer],[buffer_handle; desc_handle; dma_address; user_address]
16,hailo_pcie_fops_unlockedioctl,ioctl_operations,AIARelevantFunction,60,**AIARelevantFunction Score (60)**: The function `hailo_pcie_fops_unlockedioctl` is primarily an ioctl handler that interacts with various types of commands related to the Hailo PCIe board. While i...,[hailo_file_context; hailo_memory_transfer_params],[soc_used_channels_bitmap; enabled_channels_bitmap; dma_address; buffer_len]
17,hailort-drivers/linux/pcie/src/pcie.c:hailo_pcie_module_init,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `hailo_pcie_module_init` does not interact with any AI Accelerator (AIA) relevant functions. It primarily focuses on initializing a PCI driver and re...,None,None
18,hailort-drivers/linux/pcie/src/pcie.c:hailo_pcie_register_chrdev,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `hailo_pcie_register_chrdev` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily registers a c...,None,None
19,hailort-drivers/linux/pcie/src/pcie.c:hailo_pcie_probe,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `hailo_pcie_probe` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on probing a...,None,None
20,hailort-drivers/linux/pcie/src/pcie.c:pcie_resources_init,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `pcie_resources_init` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily focuses on initializ...,None,None
21,hailort-drivers/linux/pcie/src/pcie.c:hailo_bar_iomap,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `hailo_bar_iomap` does not involve any operations related to AI Accelerators or shared memory management that would typically be associated with AIAR...,None,None
22,hailort-drivers/linux/pcie/src/pcie.c:hailo_get_desc_page_size,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `hailo_get_desc_page_size` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily deals with read...,None,None
23,hailort-drivers/linux/pcie/src/pcie.c:hailo_pcie_vdma_controller_init,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `hailo_pcie_vdma_controller_init` does not directly involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It initiali...,None,None
24,hailort-drivers/linux/pcie/src/pcie.c:hailo_get_allocation_mode,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `hailo_get_allocation_mode` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily checks the all...,None,None
25,hailort-drivers/linux/pcie/src/pcie.c:is_kmalloc_dma_capable,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `is_kmalloc_dma_capable` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily checks if a device is ...,None,None
26,hailort-drivers/linux/pcie/src/pcie.c:hailo_activate_board,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `hailo_activate_board` does not involve any operations related to shared memory management with an AI Accelerator (AIA). It primarily focuses on enab...,None,None
27,hailort-drivers/linux/pcie/src/pcie.c:hailo_pcie_disable_aspm,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `hailo_pcie_disable_aspm` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily deals with disab...,None,None
28,hailort-drivers/linux/pcie/src/pcie.c:enable_boot_interrupts,functions_by_file,AIARelevantFunction,0,"**AIARelevantFunction Score (0)**: The function `enable_boot_interrupts` does not interact with any AI Accelerator (AIA) relevant operations such as memory mapping, DMA address handling, or shared ...",None,None
29,hailort-drivers/linux/pcie/src/pcie.c:hailo_enable_interrupts,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `hailo_enable_interrupts` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily focuses on enab...,None,None
30,hailort-drivers/linux/pcie/src/pcie.c:load_firmware,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The `load_firmware` function does not interact with shared memory or perform any operations that would typically be associated with AI Accelerator integration. I...,None,None
31,hailort-drivers/linux/pcie/src/pcie.c:load_nnc_firmware,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `load_nnc_firmware` does not interact with shared memory or perform any operations that would typically be associated with AI Accelerator integratio...,None,None
32,hailort-drivers/linux/pcie/src/pcie.c:wait_for_firmware_completion,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `wait_for_firmware_completion` does not interact with any AI Accelerator (AIA) relevant operations. It simply waits for a firmware completion signal ...,None,None
33,hailort-drivers/linux/pcie/src/pcie.c:disable_boot_interrupts,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `disable_boot_interrupts` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It simply disables interrupts and m...,None,None
34,hailort-drivers/linux/pcie/src/pcie.c:hailo_disable_interrupts,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `hailo_disable_interrupts` does not interact with any AI Accelerator (AIA) relevant functions or shared memory management. It primarily focuses on d...,None,None
35,hailort-drivers/linux/pcie/src/pcie.c:power_mode_enabled,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `power_mode_enabled` does not interact with any AI Accelerator (AIA) relevant operations. It simply checks a global variable `g_is_power_mode_enabled...,None,None
36,hailort-drivers/linux/pcie/src/pcie.c:hailo_pcie_insert_board,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `hailo_pcie_insert_board` does not interact with any AI Accelerator (AIA) relevant functions or memory management patterns that would typically invol...,None,None
37,hailort-drivers/linux/pcie/src/pcie.c:hailo_pcie_get_board_index,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `hailo_pcie_get_board_index` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily retrieves a p...,None,None
38,hailort-drivers/linux/pcie/src/pcie.c:update_channel_interrupts,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `update_channel_interrupts` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on updating...,None,None
39,hailort-drivers/linux/pcie/../vdma/vdma.c:hailo_vdma_controller_init,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0%)**: The function `hailo_vdma_controller_init` does not directly involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily initializ...,None,None
40,hailort-drivers/linux/pcie/../vdma/vdma.c:init_vdma_engines,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `init_vdma_engines` does not involve any operations related to sharing memory with an AI Accelerator (AIA). It primarily focuses on initializing an a...,None,None
41,hailort-drivers/linux/pcie/../vdma/vdma.c:hailo_set_dma_mask,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `hailo_set_dma_mask` does not involve any operations related to shared memory (SMem) with an AI Accelerator (AIA). It primarily focuses on setting th...,None,None
42,hailort-drivers/linux/pcie/../vdma/vdma.c:hailo_vdma_file_context_init,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction Score (0)**: The function `hailo_vdma_file_context_init` does not involve any operations that directly relate to sharing memory with an AI Accelerator (AIA). It primarily init...,None,None
43,hailort-drivers/linux/pcie/../vdma/vdma.c:hailo_vdma_ioctl,functions_by_file,AIARelevantFunction,0,**AIARelevantFunction (0%)**: The function `hailo_vdma_ioctl` does not directly involve operations that share memory with an AI Accelerator (AIA). It primarily serves as an entry point for various ...,[struct hailo_vdma_file_context; struct hailo_vdma_controller],[enabled_channels_bitmap; last_vdma_user_buffer_handle; last_vdma_handle]
